"...1","median.X2016.12","median.X2017.02","median.X2017.03","median.X2017.05","median.X2017.06","median.X2017.07","median.X2017.08","median.X2017.10","median.X2017.11","median.X2017.12","median.X2018.02","median.X2018.04","median.X2018.05","median.X2018.06","median.X2018.07","median.X2018.08","median.X2018.09","median.X2018.10","median.X2019.02","median.X2019.03","median.X2019.05","median.X2019.06","median.X2019.07","median.X2019.08","median.X2019.09","median.X2019.10","median.X2020.01","median.X2020.02","median.X2020.03","median.X2020.04","median.X2020.05","median.X2020.06","median.X2020.07","median.X2020.08","median.X2020.09","median.X2020.11","median.X2021.02","median.X2021.03","median.X2021.04","median.X2021.06","median.X2021.07","median.X2021.08","median.X2021.09","median.X2021.10","median.X2021.12","median.X2022.01","median.X2022.02","median.X2022.03","median.X2022.04","median.X2022.05","median.X2022.06","median.X2022.07","median.X2022.08","median.X2022.09","median.X2022.10","median.X2022.11","median.X2022.12","median.X2023.02","median.X2023.03","median.X2023.05","median.X2023.06","median.X2023.07","median.X2023.08","median.X2023.09","median.X2023.10","median.X2023.12","median.X2024.01","median.X2024.03","median.X2024.04","median.X2024.05","median.X2024.06","median.X2024.07","median.X2024.08","median.X2024.10","median.X2024.11","median.X2024.12","median.X2025.02","median.X2025.03"
2,0.637860984152092,0.52331157525406,0.602156886458525,0.740350892669347,0.718716594305985,0.810319928746574,0.810499695039626,0.686710258325451,0.755742311477747,0.775910377502557,0.580112069845296,0.688627469539771,0.806013083458082,0.865531750427678,0.822094702138936,0.519797625079818,0.67746310322343,0.721848756075015,0.574483685493523,0.618538347158024,0.768837548792435,0.800536053643849,0.821353731090094,0.817112288691822,0.781045764684727,0.773292067176468,0.838084474205893,0.781742218088002,0.745216889814983,0.764151331150325,0.81741066308735,0.85942685604083,0.862599862946434,NA,0.777103112589771,0.835487785162753,0.374607850611271,0.337298484643357,0.303454726934475,0.331299937433737,0.799891079465676,NA,0.685901045799436,0.79911765903273,0.758010535705442,0.695220606401626,0.624084700525382,0.620810480117899,0.547402493117899,0.63747278849295,0.712762315022351,0.652941167354569,0.502614378929365,0.759001796895861,0.792056322097814,0.800000011920861,0.681917230288273,0.522327669205317,0.489550757634533,NA,0.813313571845813,0.607920054127413,0.645196099579388,0.683967723566019,0.679411783814359,0.65382821857925,0.484659747165824,0.626666688919154,0.729538283040534,0.794871807098472,0.625390517509582,0.782650042663888,0.81216352066754,0.788398705422991,0.839813901206149,0.76749456723528,0.609907143994446,-0.0057365097112932
4,0.571847290741011,0.510065388678235,0.507513983841012,0.760784327983856,0.938165269792081,0.918367351804429,0.905732965469281,0.72392158508331,0.619360559695841,0.649986948966921,0.489571404404304,0.517796956429639,0.827378369039959,0.913556044852287,0.868512118564007,0.895343143493011,0.890050841702464,0.851441762026712,0.499040478721176,0.481307190656263,0.915823078432629,0.893815994262617,0.904188928279001,0.77684638587143,0.905504376055136,0.833855445568187,0.578300678729656,0.549202885582978,0.488340713322691,0.506730289072282,0.919704676778327,0.9058823585511,0.902255368065116,0.772549033164978,0.878701832788184,0.634720251327964,0.482316964536496,0.495636293992911,0.49803921580256,0.930448877909838,0.89822304528197,NA,0.901631498154674,0.771013085543535,0.530457544326515,0.467226892711006,0.422679743171333,0.35442413126781,0.318082799514135,0.38756303191273,0.418431377412294,0.460499111090136,0.461655775712278,0.560971081266291,0.366946786643078,0.492177503047158,0.510718983412401,0.378509811163122,0.361887263134386,0.609947416841321,0.664396304833816,0.573856234553358,0.550326824188863,0.611707894698937,0.654336370528028,0.627015272775505,0.536274537443594,0.543817554199303,0.697371114624295,0.78828526302463,0.865546226501228,0.887670832601224,0.844151462974045,0.627508672721738,0.676175146887075,0.637552012096506,0.567320287227652,NA
6,0.61678128079935,0.550189225297239,0.530230207028603,0.93255524833997,0.941865398271663,0.920588240027425,0.89436664183934,0.570915058255158,0.657333961752958,0.67785949632526,0.498459385441884,0.570432643095673,0.877968835830685,0.910930120944974,0.816852157180363,0.890637261420483,0.804202696328543,0.826823539733884,0.512220270705947,0.500848708312921,0.813590274802572,0.890858167951755,0.906254901885985,0.878658967358722,0.900935149192809,0.838379951774088,0.621305617980848,0.569438835670215,0.508564541516485,0.556443031774753,0.912549024820325,0.87156863510609,0.896017163060604,NA,0.873638351758305,0.622313251600996,0.49812091576557,0.499888431735162,0.507103854515524,0.917407943708139,0.895238101482387,0.520356534827829,0.878537368130036,0.817310059908769,0.627033814470819,0.559523835778236,0.472900956869139,0.356909438967715,0.347237085754222,0.36895088713195,0.415532492539477,0.475648790378804,0.536213257660504,0.643566197715797,0.649866331030035,0.683986946940422,0.636007151820463,0.449299722909922,0.388767513632778,NA,0.824254059921154,0.831750956020865,0.748503626961462,0.769769187215011,0.744873964786534,0.678253138607201,0.449534316733472,0.482976828109133,0.637571179097703,0.773707678372206,0.88151634693146,0.859869289398192,0.8846738764218,0.814060269332514,0.802020213820714,0.80568844079971,0.696078449487677,0.243921568989753
7,0.653623209051478,0.54567813165489,0.549054964168633,0.881235035026742,0.934387258812779,0.912832638248795,0.880659543655122,0.537418328225722,0.685806522398903,0.747607858181009,0.566188621436727,0.631230727028317,0.828410523368989,0.898106012466172,0.872026698359878,0.859462688476309,0.83799649029973,0.827450990676883,0.558290624618564,0.527721461550906,0.849906340905717,0.877657386033145,0.891571775559449,0.797244585266175,0.875960791707053,0.587217010845842,0.65261439979077,0.607270542235531,0.52236274302561,0.604848508401249,0.902292774783242,0.881813282813514,0.873912561042565,0.825938636946592,0.803427046247308,0.62052655490967,0.498110734311268,0.50468610597382,0.53182975461442,0.908801748355241,0.887226897478112,NA,0.865007549524328,0.694716793795523,0.656446841630069,0.620876608526211,0.586501079251602,0.491345775773725,0.534420428035209,0.897643467155084,0.872495745025262,0.887675055435734,0.874509811401379,0.862593499194732,0.823671165719155,0.743360086598319,0.66788372500199,0.372511678934133,0.353230142907119,0.318421063454573,0.400658706901678,0.461873640616792,0.523497296161414,0.560937128283872,0.599152117162173,0.536544145271263,0.348492347142384,0.384451937439186,0.348428269227401,0.407797006649252,0.689946193028854,0.72669684886923,0.632573772121174,0.663341042750043,0.676946300726708,0.662373245276238,0.548473849431673,0.0656475049922626
8,0.882277533411771,0.83577281656385,0.804154084369331,0.824901971221091,0.893365850102964,0.874439081711045,0.880262596754353,NA,0.869065083109581,0.961502162480473,0.594132195578299,0.762621706182197,0.824477246946656,0.863208947643567,0.848550133302406,0.846889666949969,0.846766637353437,0.846246598415046,0.811838361578583,0.774456462689681,0.836732257809044,0.847475282386487,0.866133398840235,0.849148142738609,0.873602040940011,0.797135405299532,0.876470595597772,0.825703175549975,0.735363042773484,0.771008506617371,0.853360656482581,0.841389449125118,0.849856572992839,0.840588624057913,0.825451759731092,0.816692342308647,0.704159812392504,0.703193550229377,0.735686290263935,0.869711657131684,0.860862753391355,0.575148736491962,0.886260204289123,0.880436392206909,0.883807493556455,0.892783343791643,0.862597336976465,0.768140846795253,0.766615970638102,0.853708448617566,0.83818980032902,0.856686842204146,0.862820968741579,0.87277833132315,0.858823537826543,0.890696710728463,0.877937241149974,0.860713450304996,0.687679269420916,0.831372559070775,0.855133450900672,0.869567001238665,0.814778942220485,0.856327994303449,0.86534314528114,0.889029716858891,0.879034698009186,0.827885857666866,0.792993795217427,0.627827043403383,0.616641806467396,0.587352965772455,0.615102923608341,0.648937518872914,0.691578289036902,0.626648342402689,0.492633616957483,0.0838053764570169
12,NA,0.534117674829011,0.507575786926929,0.767095602118429,0.904267595097415,0.867379687053471,0.818885459712139,NA,0.702901978493061,0.3908496797068,0.526568655670093,0.550181580915042,0.840522885323381,0.890811232960114,0.850918153922042,0.763429106668332,0.864856719970911,0.831862755119243,0.551820755005081,0.509803950786831,0.739731697660241,0.871257779075051,0.86264190548366,0.871372520924155,0.890331311473463,0.802111625670216,NA,0.57990198582681,0.515651903655537,0.534814842542853,0.871895432474751,0.867189550401106,0.845751643186701,0.500000007450952,0.849197869951185,0.669397778809027,0.451464539325012,0.43986928463024,0.519327759743316,0.87692308426028,0.891453946536634,NA,0.889449119568066,0.869738569855442,NA,0.635854363443712,0.587933659553943,0.523378610611168,NA,0.842483669521901,0.497603507505621,0.512196084260895,0.521095356037008,0.668736403186917,0.758823543786867,0.914138292010436,0.883639712817503,0.650361217949837,0.391251891852464,0.739553768059112,0.805525858293562,0.729314951986956,0.732521990250102,0.803607854842924,0.810571196286498,NA,0.725098055598913,0.670308142900216,0.741176486014761,0.807946347876291,0.862901968956696,0.81622453998456,0.852042492479508,0.844631195068292,0.890196084974845,NA,0.402666672469807,0.065098042041964
13,0.549215713143349,0.359259267648061,0.492892157286406,0.864080108226614,0.927573533728719,0.91287582218647,0.887377457693219,0.319073094563051,0.677261801142442,0.657366967201233,0.510303059491244,0.542002091282292,0.809027789160609,0.901924479338858,0.840321779251099,0.877647066116333,0.854185123597422,0.853019616603851,0.473358233769735,0.473427993470225,0.825831212427305,0.876034865776698,0.891751166047721,0.818758176432716,0.883912662890824,0.553897683213397,0.55424839258194,0.521878253472479,0.480497576536671,0.521843853749727,0.910130724310875,0.890736990961535,0.877054162323475,0.729411780834198,0.823243474587798,0.636487660200699,0.465577344099681,0.465396827459335,0.475630253553391,0.913235299289227,0.881678928621113,NA,0.880024516955018,0.629972010850906,0.580908177714599,0.565032705664635,0.517391333113546,0.45594002569423,0.494215686619282,0.903001206261771,0.883578438311815,0.892371303401887,0.881100195149581,0.886983736398372,0.867102404435476,0.792717099189758,0.549509830772877,0.365250552694003,0.313725501298904,0.320098049938679,0.404080556856619,0.472587467993007,0.541889510371468,0.583921593427658,0.603921592235565,0.550580999917454,0.337254911661148,0.369429597800428,0.319686285257339,0.361711238189177,0.64061626791954,0.755171102636001,0.641117074272849,0.658439082257888,0.68366014957428,0.656743930144744,0.53903746063059,0.0466666676104069
14,0.879215693473811,0.810426770238312,0.79387853930621,0.775686287879745,0.875817000865999,0.863364301229724,0.778511965928163,0.327170878648949,0.5960784554482,0.584313750267023,0.421176475286513,0.426960788667268,0.473389357328751,0.505421021405566,0.543640047311946,0.462637660030095,0.498340895543036,0.516339898109499,0.387933641672143,0.396732032299207,0.548758196831151,0.694541618630786,0.675599118074001,0.638588237762653,0.623979450249615,0.619472639314261,0.668627470731835,0.541407178430014,0.47661156105072,0.481854965289239,0.749405350841855,0.798154567971597,0.782702551331664,0.544901987910348,0.725490212440773,0.623660153150464,0.553921595215378,0.468780421830107,0.577194595336819,0.858823537826221,0.880392163991988,0.527760606063159,0.870028018951577,0.805347605184993,0.771960797905939,0.77993080896533,0.732480834360187,0.58869667964764,NA,0.853367442669986,0.841176480055053,0.860278293010078,0.830597335516316,0.830696426588972,0.772549033164634,0.853333342075465,0.835492687889464,0.724509820342334,0.464923749367584,0.781960797308293,0.881617654115068,0.890196084976869,0.827450990676925,0.861064434051594,0.826831795667511,NA,0.705169358036802,0.683188704193514,0.732983209192546,0.756364782651085,0.856209158897342,0.856836609840348,0.859570503235159,0.771639683972273,0.822803205914135,NA,0.571708709001622,0.151515157385439
16,0.622222244739532,0.549176497458737,0.584313750266056,0.89204152892589,0.751496402841889,0.81949892143458,0.847724098712272,NA,0.677414688799296,0.749019622802734,0.563800930974872,0.715170295613921,0.864686084515891,0.682284160667961,0.838725499809084,0.647276709484042,0.5928104817897,0.741666682064286,0.589869305489961,0.619195069136434,0.858680935338964,0.852100849152552,0.851470567286379,0.817843146624856,0.729411780839436,0.656516744811423,0.665686294436455,0.590849697590335,0.481045752767666,0.507418330013874,0.703611988771188,0.824836611748282,0.752287596464319,0.466666668653488,0.683660149581762,0.755010907848181,0.556862771510619,0.577011519463276,0.555032706260239,0.750403705767127,0.878781519830377,0.742199503858566,0.878921575844338,0.837815135717086,0.71764707565286,0.685746625065461,0.65245100110722,0.654901981352139,0.702549037335115,0.891926188679114,0.78390094167615,0.833849339109742,0.729411768914485,0.872941184043668,0.873991868405513,0.882788678009764,0.799019619822547,0.706608586840199,0.586620555203359,0.756470602755155,0.90602241456499,0.808049547046561,0.775424849988003,0.854466239611174,0.829215696453616,0.807843148708344,0.733333349227905,0.783428222901104,0.690305029352011,0.818089827413645,0.828373712652468,0.781168313697099,0.795588247478751,0.83026144802546,0.816666677594023,NA,0.212908498943595,0.0769865869701737
17,0.768627464771386,0.563267999887469,0.577521033585071,0.864649868011475,0.919607847929002,0.913130257278679,0.865387902311656,NA,0.694117665290833,NA,0.509967349469659,0.584705907106398,0.873426711559294,0.900076899458379,0.881630554010992,0.744444459676746,0.81977125257254,0.773796804926611,0.56147061437369,0.563657116751333,0.839950989931819,0.869199354201556,0.892034310847522,0.785725513100641,0.536313753128144,0.453623191170095,NA,0.486601307988169,0.354709735688099,0.31623094777267,0.357640001419433,0.493085655726902,0.49373856246472,0.44396285163734,0.646732047200207,0.687179505825043,0.53914810049123,0.464858389894165,0.491889483549376,0.737154364585882,0.760498380288485,0.716446595532563,0.795058835744865,0.77542018145323,NA,0.640911521138373,0.615058846473696,0.535495251417159,0.600000023841856,0.766930069496387,0.783036948636529,0.797783473263643,0.719515938311859,0.824223866686229,0.793572997053465,0.896078437566775,0.810695198449251,0.626361678044013,0.522291050145494,0.818454451420726,0.882586374878889,0.853176479339623,0.829705892503268,0.857176479101188,0.833137264847764,NA,NA,0.638282001018526,0.775294131040571,0.794335524241128,0.857761446386577,0.848093690971534,0.865661144256636,0.822854743849849,0.839705891907218,NA,0.335178787217425,0.0170806105662568
