"...1","median.X2016.12","median.X2017.02","median.X2017.03","median.X2017.05","median.X2017.06","median.X2017.07","median.X2017.08","median.X2017.10","median.X2017.11","median.X2018.02","median.X2018.04","median.X2018.05","median.X2018.06","median.X2018.07","median.X2018.08","median.X2018.09","median.X2018.10","median.X2018.11","median.X2019.01","median.X2019.02","median.X2019.03","median.X2019.05","median.X2019.06","median.X2019.07","median.X2019.08","median.X2019.09","median.X2019.10","median.X2020.01","median.X2020.02","median.X2020.03","median.X2020.04","median.X2020.05","median.X2020.06","median.X2020.07","median.X2020.08","median.X2020.09","median.X2020.11","median.X2021.02","median.X2021.03","median.X2021.04","median.X2021.06","median.X2021.07","median.X2021.08","median.X2021.09","median.X2021.10","median.X2021.12","median.X2022.01","median.X2022.02","median.X2022.03","median.X2022.04","median.X2022.05","median.X2022.06","median.X2022.07","median.X2022.08","median.X2022.09","median.X2022.10","median.X2022.11","median.X2022.12","median.X2023.02","median.X2023.03","median.X2023.06","median.X2023.07","median.X2023.08","median.X2023.09","median.X2023.10","median.X2023.12","median.X2024.01","median.X2024.04","median.X2024.05","median.X2024.06","median.X2024.07","median.X2024.08","median.X2024.10","median.X2024.11","median.X2024.12","median.X2025.02"
1,0.95686274766922,0.907843142747879,0.859803929924965,0.812745109200478,0.846623102823893,0.843137264251709,0.875381271044413,0.925585848529164,0.957843139767647,0.873284321278334,0.838198992941115,0.802932355854962,0.862242341041565,0.848459392786026,0.882643434736464,0.868832874298096,0.84183007478714,0.737254917621613,0.751960799098015,0.9091847319352,0.859284898814033,0.847058832645416,0.868805711919611,0.88029163923019,0.866078448295593,0.896524070338769,0.706442594528198,0.962009806185961,0.934117650985718,0.841753181289224,0.860275970564948,0.860690951347351,0.531735685136583,0.8524251893947,0.784033626317978,0.894607849419117,0.905882358551025,0.835294127464294,0.816078442335129,0.802352952957153,0.886274516582489,0.875770315527916,0.868907570838928,0.911942964250391,0.939100349650663,0.965775403109464,0.969488284936765,0.949455340703328,0.848673596101649,0.808354657629262,0.683333352208138,0.850196087360382,0.876797368129094,0.87512899699964,0.910635774785822,0.92822341485457,0.967755993207296,0.992156863212585,0.686274528503418,0.604481816291809,0.459229215465743,0.515779654894556,0.480882359668612,0.419607847929001,0.440616250038147,0.744313740730286,0.297808547230328,0.418300658464432,0.463777091942335,0.625047460679085,0.733333349227905,0.643002049676303,0.620320878245614,0.68866157013437,0.5393939668482,0.142179668989292
3,0.967647060751916,0.911813730746502,0.857771409720901,0.810207623769252,0.866540172407699,0.846176479756827,0.86485967741293,0.927104963975797,0.955555558204653,0.861078439652917,0.831907318396997,0.798111849360994,0.856209158897398,0.828817597844381,0.868325799703596,0.860737636685369,0.846766800956522,0.776931962546162,0.524324352676809,0.911167950733841,0.850749720545371,0.839093146845692,0.850879848003385,0.861274495720862,0.83208555524999,0.895168073475358,0.701176488399493,0.964183008670808,0.93391265991059,0.825824974513634,0.852810466289508,0.854117655754087,0.537516367435456,0.824714062735433,0.832598049193617,0.722939598851084,0.826235000477279,0.817055722077686,0.808859851625227,0.837076658552339,0.870679442272624,0.864771249890324,0.850154807693078,0.909411770105364,0.930557681755587,0.973431374132635,0.976470589637761,0.959663867950449,0.853013806872888,0.819771252572534,0.733333349227901,0.848832875490185,0.875196085870263,0.87830883078277,0.90541550517082,0.928698756478047,0.959215688705438,0.994553377230961,0.760784327983864,0.622718075226047,0.408446460962312,0.461029414087562,0.50173013350549,0.377687634065241,0.363562099635611,0.564705908298576,0.273529425263414,0.367857150733481,0.398319333791775,0.50300655464332,0.591557758549865,0.573789199193322,0.624901983141901,0.67037039001784,0.69549021422864,0.400285210934583
4,0.924228086553766,0.890210397269601,0.855714294314378,0.87463819608092,0.90204001376123,0.879202835872524,0.877544358372685,0.897228764295579,0.943749354945286,0.832069726785014,0.823730528354637,0.824104585647593,0.86297296493426,0.840689053474851,0.872804781664977,0.85932954665153,0.844030510385833,0.638717203322106,0.145550534129143,0.886576175689707,0.836229270696645,0.839684579035518,0.851014207663212,0.86616347215872,0.845832065129893,0.745588250458244,0.48812430703416,0.437019611597069,0.392356270955793,0.340955546624229,0.319162221117457,0.358307541985275,0.414052292704605,0.36766885320346,0.353501409292241,0.383563705643673,0.437494557102531,0.333146601915363,0.323553334285581,0.300347892988118,0.376540623605279,0.470908365079357,0.555141107338254,0.523168243075693,0.498438049170936,0.447625615866861,0.397617896233715,0.377891453711892,0.32311464101077,0.344478853439051,0.493300653994123,0.533921596407953,0.569859950883063,0.576544605336113,0.559259285529464,0.579283324603399,0.56797388195993,0.503695345555368,0.382875823974621,NA,0.69708685278894,0.727038199964343,0.684994016374881,0.677742467538752,0.672581718862062,0.618382375687396,0.366410920153513,0.522204585977515,0.586416034354394,0.803431384265434,0.820903372019547,0.780738190693075,0.696191571652898,0.718167637829243,0.691097326900664,0.546623120705304
5,0.933743733999341,0.882737415678234,0.854695571095967,0.891048599844275,0.918191726009051,0.901856215000093,0.890974836146466,0.904099827462775,0.937058827281126,0.846338544573275,0.82543992996171,0.84691358937144,0.888845030093316,0.863409415620192,0.892410617716093,0.878754663210868,0.855392165481882,0.666877523545292,0.123747278832492,0.907295536350402,0.855161675948438,0.86732814398136,0.866408109664839,0.882545809276718,0.862754106521478,0.888651224699853,0.84443746339823,0.945311946218664,0.908835638452459,0.820479313532156,0.839732491692451,0.869540136139639,0.883356140103397,0.876757688611372,0.551895451546332,0.883084088058736,0.870628671547551,0.810179402219403,0.749957389157745,0.845131282078481,0.879374541813787,0.883842151376158,0.858726708977215,0.916526615619645,0.935294121503828,0.940814483165778,0.935697403359882,0.929150331020255,0.825210094451578,0.825037717818946,NA,0.860822768772301,0.887015268537685,0.886737479517738,0.91212781932619,0.916078436374557,0.937254905700687,0.975519906390935,0.727211876611911,0.374509811401367,0.374080889858743,0.366330358878144,0.443431375921138,0.487058824301541,0.510570234266083,0.67830884270408,0.409954756495983,0.413262037256079,0.438131000769818,0.595581355229917,0.646382712084934,0.597787857056166,0.599708186194046,0.662745118140867,0.752864297697943,0.431446544965288
6,0.94474153627047,0.897244980063597,0.857069151966166,0.868449205701981,0.90352941751478,0.874945541222889,0.874509811401351,0.901284657675621,0.948110261689035,0.835294127464241,0.82225491255519,0.816176481544955,0.860284514286959,0.828633685906716,0.612605065107437,0.855132649926559,0.828991606831541,0.657241162500996,0.484143223451531,0.884943984448892,0.825882363319367,0.823235304653599,0.83484594821928,0.852561654583113,0.841190669191875,0.732094959208814,0.493085655726857,0.423742545039823,0.407948184758452,0.361840128898648,0.335294127464325,0.353242844343213,0.424955441193239,0.362733639646007,0.384313732385635,0.392893648689492,0.430406369592888,0.336056654651996,0.324126182690968,0.305786716501931,0.446366785204207,0.662507447329691,0.684890445541051,0.68033275821002,0.576114107262169,0.285049032419983,0.383473396301298,0.375317193129539,0.329901970922972,0.369479973679126,NA,0.758169949055255,0.803641468286903,0.768684299095881,0.698169952631039,0.606588258743301,0.590931396931473,0.506423288378285,0.38692811131481,0.371677567561467,0.845223204886737,0.852908737270571,0.795378163456944,0.783090883685744,0.728011220693657,0.619948871757769,0.367488938954692,0.544852968305727,0.667519201403201,0.879901967942689,0.887507009506275,0.878271966445779,0.708061019579741,0.738763213158351,0.7000000178824,0.526966083434459
7,0.630812346935272,0.589542508125305,0.55570936904234,0.896470594406128,0.945658266544342,0.929934644699097,0.906753818194071,0.756438806250289,0.760553647490109,0.417725495100021,0.36911765486002,0.399215692281723,0.407428668039601,0.422021120786667,0.470461745415964,0.501960799098015,0.576470613479614,0.637151724413822,0.140043579538663,0.454411767423153,0.375778554116978,0.450773996742148,0.663348436355591,0.69289219379425,0.68015688508749,0.695051372051239,0.673949599266052,0.805322140455246,0.565359503030777,0.424929976463318,0.441767821709315,0.717223122313216,0.769568641185761,0.797800107700069,0.63333335518837,0.798089504241943,0.786274522542953,0.609313748776913,0.573742565901383,0.558823555707932,0.855302129473005,0.881841439267863,0.863025218248367,0.910588240623474,0.912941181659699,0.834612115569737,0.831643012063257,0.74117648601532,0.577742473499195,0.652790367603302,NA,0.879679151556709,0.897504470565102,0.887581706047058,0.899128546317418,0.907189548015594,0.925133694301952,0.952069719632467,0.737690647443136,0.344537824392319,0.910750512419076,0.914306468433804,0.877680441166492,0.897725496292114,0.899547517299652,0.968396772356594,0.690588253736496,0.767219722270966,0.856862753629684,0.883607850074768,0.910065364837646,0.909288973519296,0.850477635860443,0.91926182718838,0.943584454687018,0.755294132232666
10,0.910944241158591,0.863478109658235,0.830467581748885,0.880293606056083,0.910409697672193,0.894580830739151,0.884146670054947,0.885625165971844,0.919776959852747,0.833093907573139,0.810021797815579,0.829324628909293,0.882653717446141,0.853961968020115,0.887385627627435,0.841054439544688,0.703421386225719,0.504876186679426,0.194183009863596,0.469530036053689,0.391482053833237,0.36971165713262,0.37338936329021,0.395397930110587,0.44585098877636,0.499422298745017,0.568673612789229,0.464639417196756,0.429191180691417,0.3752494054407,0.373301458213474,0.595588259393631,0.64229694008808,0.638208961054154,0.588809815940727,0.603254925608175,0.540461628697735,0.440773813054383,0.413179710046644,0.394479138724084,0.703801538262383,0.793034068063842,0.775000013410924,0.817366957663357,0.768428400385666,0.623184481428702,0.572994677860268,0.538897086307694,0.443209879928014,0.511241047278734,NA,0.822377208889081,0.832637258469589,0.766770507445646,0.775634384767947,0.755787490837098,0.776386567949937,0.726302537321967,0.546266193085271,0.347385630011503,0.858527446253136,0.858198778155942,0.816698646901614,0.812302351478478,0.799574781612217,0.723333349824375,0.506178780004281,0.646823550463407,0.747563889080898,0.783986940979729,0.859083890914847,0.854130171397724,0.788048565388685,0.80933900469391,0.749072143807954,0.650941776818235
11,0.929533282299927,0.881767153739819,0.850461369928054,0.878858895037937,0.897142678989252,0.884634342538329,0.879185967299417,0.886333298121739,0.927795893743873,0.812182794755572,0.816242536331747,0.823632234937628,0.865557817344031,0.832312672459366,0.862740110591674,0.862656198113197,0.83616684644208,0.636979551181998,0.4998663171106,0.865573778503973,0.814835175871978,0.824465796777102,0.833119314006476,0.85428823465112,0.841776980552839,0.874404255318918,0.708306612751579,0.922150631675293,0.884244371311959,0.777006549239103,0.791900481058595,0.834880009841793,0.611935231997096,0.758578445762424,0.708817857838425,0.83623989202726,0.743656301323139,0.763250723200037,0.750622046737639,0.775498379394068,0.851509917626887,0.842830084297075,0.822810810273907,0.88206469615301,0.891066182963597,0.928253680746881,0.911595678021223,0.893476035504469,0.766230247962852,0.695787203299542,NA,0.822072425523335,0.850476884049667,0.848252986035962,0.846836332311036,0.883746758641869,0.903444166028085,0.947850211152528,0.540626844145644,0.225490201263865,0.351533442736178,0.351200673297774,0.412301953870712,0.429416360914311,0.437558857050947,0.470588245644019,0.248632181821847,0.390282084283593,0.427824863059353,0.565704939030483,0.612570051104196,0.531678153710839,0.504644568905319,0.535569799357241,0.495328131530455,0.429698175593611
13,0.944809691870342,0.88318666745342,0.862286741083201,0.889591042995456,0.91129141840444,0.900554650095895,0.888235300779394,0.89296608169883,0.941292731725678,0.820864617647638,0.831179982051072,0.840522885322702,0.881678269755567,0.829778075218224,0.613071918487948,0.870572864308183,0.843244216117119,0.663601931404249,0.738398708401643,0.889071294041428,0.840717573115,0.846137978528714,0.858300662040835,0.876679409890591,0.860392153263233,0.888068425528639,0.371211080341043,0.465207480414007,0.43354902356878,0.349033774129017,0.333861500626971,0.342962540907832,0.504481804690883,0.358601037492279,0.493137259044228,0.392305413431994,0.449610958497446,0.35114275896652,0.352064210025773,0.326546628986356,0.3952210906307,0.542776271324561,0.546728817543286,0.530356748995807,0.490024672831704,0.466365021008762,0.421013076603776,0.410149947686725,0.339829678788618,0.358530192159488,NA,0.59507292509124,0.621017889360595,0.603353988183429,0.613856232167193,0.652756849925212,0.733715941266978,0.61981426414647,0.483931134386823,0.273529425262778,0.757189556957464,0.785591218959657,0.765533783039001,0.771078445017746,0.74919012577675,0.828966142100997,0.490196082327101,0.599701643637413,0.685266125202001,0.756230248559273,0.846818309784193,0.835986168945692,0.715130735934235,0.809498922030875,0.827077507974349,0.531221747397984
14,0.795333841933683,0.671258189529117,0.600000023841713,0.846868053642426,0.911733085589986,0.900560230016684,0.874063454023163,0.760613825009842,0.824717776342104,0.605294141173618,0.574435369123605,0.820497098423129,0.886672356854231,0.860482122308422,0.887085875560465,0.859436967519376,0.808609637076171,0.654438347651952,0.233679355067012,0.678901979923141,0.591993488371277,0.779336363077092,0.863529419898931,0.885766679863234,0.873379813551287,0.876892918348258,0.81494934646871,0.799879963908941,0.728586187488002,0.544016254359535,0.600121059903288,0.891032686233491,0.867547925938343,0.866796466475605,0.77975421145763,0.834471420808221,0.667634346268709,0.616394092687681,0.526696860790197,0.567555393246374,0.895549337069145,0.873986935615481,0.859432057059999,0.879532943950559,0.830147068947506,0.723949596285537,0.738384861056954,0.709106771151475,0.571988821029574,0.610206156968997,NA,0.858034212558767,0.879780087836805,0.86805730170384,0.874027156829801,0.812449017627043,0.788268540370369,0.831229956583251,0.712931570099829,0.562985922161013,0.886568634211973,0.877471231781236,0.857655411070895,0.870446157196259,0.857968598745402,0.561222632842825,0.328409914335105,0.389084973931207,0.376772254705465,0.373899501088555,0.378157917310685,0.441538285464394,0.418901259029328,0.446026835002641,0.376916228370081,0.370022526558737
