"...1","median.X2016.12","median.X2017.02","median.X2017.03","median.X2017.05","median.X2017.06","median.X2017.07","median.X2017.08","median.X2017.10","median.X2017.11","median.X2017.12","median.X2018.02","median.X2018.04","median.X2018.05","median.X2018.06","median.X2018.07","median.X2018.08","median.X2018.09","median.X2018.10","median.X2018.11","median.X2019.02","median.X2019.03","median.X2019.05","median.X2019.06","median.X2019.07","median.X2019.08","median.X2019.09","median.X2019.10","median.X2020.01","median.X2020.02","median.X2020.03","median.X2020.04","median.X2020.05","median.X2020.06","median.X2020.07","median.X2020.09","median.X2020.11","median.X2021.02","median.X2021.03","median.X2021.04","median.X2021.06","median.X2021.07","median.X2021.08","median.X2021.09","median.X2021.10","median.X2021.12","median.X2022.01","median.X2022.02","median.X2022.03","median.X2022.04","median.X2022.05","median.X2022.06","median.X2022.07","median.X2022.08","median.X2022.09","median.X2022.10","median.X2022.11","median.X2022.12","median.X2023.02","median.X2023.03","median.X2023.06","median.X2023.07","median.X2023.08","median.X2023.09","median.X2023.10","median.X2023.12","median.X2024.01","median.X2024.03","median.X2024.04","median.X2024.05","median.X2024.06","median.X2024.07","median.X2024.08","median.X2024.10","median.X2024.11","median.X2024.12","median.X2025.02","median.X2025.03"
118,0.567973881959923,0.524317418860503,0.53587084658006,0.92009804397821,0.937770148263359,0.898221620293549,0.920361995697018,0.81015311365258,0.616636980663679,0.648774530738609,0.495238095521925,0.550298407025978,0.87627954483032,0.907389628035681,0.865359485149382,0.851416130860644,0.872479823056385,0.837647068500517,0.409932202546399,0.411093916547941,0.373651968315251,0.382237607941914,0.214492755739621,0.46862745285036,0.484668547198892,0.462450982630299,0.47647058963777,0.63882763590665,0.629019629955295,0.610980415344242,0.568132864462373,0.719701230525987,0.675271292913318,0.643545772880343,0.628420852845839,0.647760263303424,0.607372572422036,0.628976056973142,0.662431392669672,0.798056892446584,0.831253723664734,0.689925643904451,0.82006921487697,0.641218210788494,0.645985081791878,0.629981046722788,0.597058847546577,0.590588259696947,NA,0.817194581031823,0.809005094899087,0.819274080560626,0.794301509857197,0.815401655531706,0.788994319977315,0.780516664187127,0.783312486841321,0.675882372260084,NA,0.883991071695017,0.890695460726707,0.852915720506152,0.870557364516379,0.851809963583952,0.831272006034854,0.679333974917724,NA,0.782652056823341,0.823342680931096,0.833392760970384,0.882282289298808,0.880956447642781,0.835475681556594,0.831246056864333,0.813029739164543,0.721568644046751,0.203720465302483
123,0.602962158638115,0.592072248887633,0.584103856023694,0.932608780860897,0.943742300271994,0.920155611485763,0.67887231763417,0.614302214456138,0.620762726963364,NA,0.541409133349401,0.572549045085931,0.871317343268542,0.917277903744462,0.893749761724181,0.874615414043685,0.831640532910538,0.834796311787312,0.356232501566508,0.583886434538591,0.561658592687674,0.912862324034376,0.883950910112979,0.90055236965417,0.876288874268803,0.898592644920842,0.822900034763182,0.633469251122851,0.61086436893254,0.551717927384444,0.585455239658583,0.909364147589552,0.89965785569792,0.893757106149821,0.778963893463602,0.602750149369228,0.535638503251788,0.558438102404248,0.536238669440534,0.921372126520067,0.899969993957443,0.810070530756222,0.899296134710302,0.831617006967773,0.637143935797317,0.634291609400689,0.620295561137387,0.560118799576863,0.498182252275695,0.915434731562679,0.895180431358939,0.910945056403258,0.909371907836596,0.901043243706202,0.875218431562794,0.801253375936955,0.640770203358638,0.621002732617031,0.505831526125418,0.900750944589036,0.907333338856682,0.866941184401506,0.874666305914687,0.862259217693407,0.690525711482116,0.443137262369795,0.449263755217827,0.349955445663696,0.34987100998054,0.346273827332218,0.381692903508599,0.460912647448837,0.577623316916756,0.636064174271558,0.665735043215025,0.54073350595142,0.0395978358585917
124,0.897212015930561,0.875191823295923,0.876041674055158,0.914938351542679,0.918431377410888,0.879339150256579,0.930637259036302,0.892296925187109,0.93374926122752,0.992647059261798,0.837359953671692,0.844640532135961,0.851704023778437,0.873279515434713,0.842391613923327,0.821973582648712,0.851125644312964,0.861274518072605,0.304865661594589,0.859653100371359,0.763779970506823,0.427522940099789,0.288888901472086,0.435744876491619,0.455632795664399,0.432131566347617,0.457107845693833,0.486951902237815,0.48534571810773,0.504836630821234,0.496446821364492,0.729141327841532,0.712390505253003,0.643161043253814,0.500251403221731,0.565849699079995,0.511087373169989,0.5416408941934,0.583516143136115,0.775032693147662,0.806571288688764,0.691724843898065,0.785279921863396,0.708310008049021,0.660734057426456,0.608468942819761,0.582212910056122,0.586056669553125,NA,0.846998500823975,0.811891219308294,0.792058834433552,0.729621851018461,0.781699359416972,0.80092880443523,0.819817937910561,0.79191920432178,0.629536943232762,NA,0.872777785360812,0.851407238415299,0.806773630055508,0.803249311447143,0.815686285495748,0.774830672957674,0.507343358853281,NA,0.783725503087049,0.829064118101244,0.859917929006177,0.896366019248962,0.871686282157891,0.847325892858609,0.863329169598034,0.767221619498048,0.61907023143384,0.0909222968750574
125,0.652040296309704,0.61649563406424,0.620702636986969,0.915648069381714,0.92832548080421,0.902725898682789,0.720755840341251,NA,0.694096981913231,0.731713916126051,0.568856808177211,0.645504591800911,0.761188685258228,0.895893582490959,0.879389985402424,0.840262152114004,0.837516597597605,0.745337174433034,0.592557865417805,0.591098686059316,0.570740524638095,0.849560607238653,0.870028018951415,0.889752976638448,0.871045473177871,0.869689937451439,0.790695898673113,0.649679553710808,0.614984995039709,0.584600130997782,0.645595904867698,0.892663863217719,0.881343435532976,0.833209368545839,0.816568522908241,0.603613219646743,0.52440222825219,0.541376207437781,0.595785919096201,0.900668582806956,0.883633357843577,0.828329890743772,0.861274518072605,0.775484120068345,0.645807280185376,0.630777574407644,0.6103304516938,0.547784665671502,0.606394227728788,0.886944621137134,0.865664903248582,0.87876751933779,0.868278136149131,0.851076720262829,0.777991981104198,0.715804152801394,0.658230249732189,0.579277043941464,NA,0.89912556928137,0.906396662602659,0.859007865365607,0.856095490248308,0.830588245391847,0.649567904913032,0.55638498548843,0.424187646478629,0.363244087144895,0.372422184021971,0.482287309284497,0.566871252678737,0.70993350100728,0.74483410269022,0.751300100075164,0.707989085833659,0.646229092059866,0.0155212898741696
126,0.65289843862318,0.572464749690627,0.546317106505033,0.899736245649704,0.918080939384179,0.885379694866707,0.635987787276612,0.588758194446555,0.710491520524101,0.613757241119834,0.51969992736703,0.563279883428126,0.855582873137191,0.895127562649757,0.871152167730919,0.660614502241883,0.850581337327797,0.819503812279029,0.326423006728831,0.560876975378679,0.51500679023316,0.77027889090464,0.863171545427232,0.882106550196376,0.830014044056604,0.878444879169918,0.811436427510495,0.640064405416421,0.591912191489725,0.526669147038752,0.568936367353357,0.894617752369592,0.876948433763818,0.880511614063684,0.814149559786003,0.660915763319911,0.515376451059733,0.525294324033039,0.540421483331747,0.887069842465785,0.871401039291222,0.82764151221828,0.859084478689228,0.76393671415255,0.671461494877407,0.642862535024184,0.617605451375884,0.548475439968056,0.535766700751929,0.879975304359514,0.866712502625225,0.874877025856784,0.873196888417698,0.870038872770676,0.833204503238067,0.84760173018452,0.725567105938475,0.593403127807863,NA,0.897272056485212,0.905762757453132,0.836159125868088,0.877072568835715,0.864994980394823,0.676173197131822,0.466666691714809,0.388279363345674,0.347526292328751,0.352091813279754,0.479081732949495,0.608299679087409,0.688509285286738,0.698067405871443,0.730233768969233,0.490637255460184,0.349599064273049,-0.0119515823179975
128,0.882389944117024,0.825882363317432,0.763095252215161,0.848366022109908,0.879044124856629,0.847298928669428,0.618454463341558,0.51901962496174,0.885428688105415,NA,0.314705893397016,0.709391142192003,0.728685564464744,0.820838149855822,0.773468907232557,0.731169725286237,0.654901981352976,0.774446566258512,NA,0.785770320892097,0.705664505560885,0.774291952450398,0.798980404138424,0.820491587611821,0.762718979516114,0.835976139358765,0.746315092876387,0.910588240623474,0.785694572287617,0.66704016923842,0.701960802078046,0.8071098473013,0.789748894540746,0.7997276807824,0.784508426138552,0.817750268860735,0.67816995382309,0.663741072018557,0.67806374467881,0.843934871382428,0.819977813171776,0.568270970473949,0.832875826954758,0.815163409709695,0.896530926227763,0.947058826685092,0.881830072403626,0.697737574576866,NA,0.800083449546239,0.797647070884335,0.822549015283498,0.804705882072331,0.828571438789134,0.677777796983215,0.890013686446678,0.893639413322431,0.84327732026694,NA,0.834914620845354,0.852100849151533,0.804901972412832,0.80448180437052,0.811223811116625,0.898039221763723,0.941868515576285,0.795860578616152,0.760668987736716,0.783006548881531,0.808403372764459,0.826452773267431,0.799273795551475,0.806535959244411,0.905882358551392,0.928627455235233,0.882570813099851,0.633986949921284
