year,Type,surface,comm_code
2018,Feuillus,1.62348406344652,23165
2019,Autres / Mixtes,4.62574266276956,23165
2019,Conifères,18.733889346242,23165
2019,Feuillus,1.18986547716781,23165
2020,Autres / Mixtes,8.10296482952461,23165
2020,Conifères,22.4673429597534,23165
2020,Feuillus,2.36996614675745,23165
2021,Autres / Mixtes,8.48999320386276,23165
2021,Conifères,26.554642626816,23165
2021,Feuillus,3.4247503547363,23165
2022,Autres / Mixtes,7.4049045588471,23165
2022,Conifères,17.7480010008298,23165
2022,Feuillus,6.82562562687993,23165
2023,Autres / Mixtes,1.70838454835936,23165
2023,Conifères,7.38650365740061,23165
2023,Feuillus,0.413436504423618,23165
2024,Autres / Mixtes,2.54048242020756,23165
2024,Conifères,6.35851526693329,23165
2024,Feuillus,1.27918002446964,23165
2025,Autres / Mixtes,0.204277036070824,23165
2025,Conifères,1.66349156406671,23165
2025,Feuillus,0.224045483863354,23165
2018,Autres / Mixtes,0.733317536582798,23249
2018,Conifères,0.300924686649442,23249
2018,Feuillus,0.455876218732446,23249
2019,Conifères,0.131633877911419,23249
2019,Feuillus,2.20470511570349,23249
2020,Conifères,0.333793160239607,23249
2020,Feuillus,0.136326018527895,23249
2021,Conifères,0.512382710067928,23249
2021,Feuillus,3.8737866662994,23249
2022,Autres / Mixtes,1.3537507795088,23249
2022,Conifères,4.45239335512817,23249
2022,Feuillus,2.1763390235804,23249
2023,Autres / Mixtes,0.587553994387388,23249
2023,Conifères,4.43380636048242,23249
2023,Feuillus,3.5678427256912,23249
2024,Autres / Mixtes,0.865114759255946,23249
2024,Conifères,2.91005293338224,23249
2024,Feuillus,1.01532838376388,23249
