"...1","median.X2016.12","median.X2017.02","median.X2017.03","median.X2017.05","median.X2017.06","median.X2017.07","median.X2017.08","median.X2017.10","median.X2017.11","median.X2018.02","median.X2018.04","median.X2018.05","median.X2018.06","median.X2018.07","median.X2018.09","median.X2018.10","median.X2018.11","median.X2019.05","median.X2019.06","median.X2019.07","median.X2019.08","median.X2019.10","median.X2020.01","median.X2020.02","median.X2020.03","median.X2020.04","median.X2020.05","median.X2020.06","median.X2020.07","median.X2020.09","median.X2020.11","median.X2021.02","median.X2021.03","median.X2021.04","median.X2021.06","median.X2021.07","median.X2021.08","median.X2021.09","median.X2021.10","median.X2021.12","median.X2022.04","median.X2022.05","median.X2022.06","median.X2022.07","median.X2022.09","median.X2022.10","median.X2022.11","median.X2022.12","median.X2023.05","median.X2023.06","median.X2023.07","median.X2023.08","median.X2023.09","median.X2023.10","median.X2023.12","median.X2024.01","median.X2024.07","median.X2024.08","median.X2024.10","median.X2024.11","median.X2024.12","median.X2025.02"
180,0.909763077274153,0.875582115258914,0.867180213332014,0.883578438311785,0.913803926706283,0.896586789025161,0.898529417812771,0.871677567561181,0.928417168233703,0.87532680481646,0.868444452285537,0.841045761108334,0.881965951307748,0.855103075504172,0.892586865707365,0.841980080135323,0.901366613127782,0.878783315420154,0.869588627534749,0.88076921380478,0.870191411602936,0.852528388562803,0.9266417721908,0.883887474951606,0.847573136696796,0.868774517625334,0.873477819718752,0.877808908621429,0.881734551718519,0.884676840570111,0.906928110122822,0.789765149354812,0.810516945340106,0.860429963433424,0.889553204911619,0.872812978923223,0.859081535746982,0.90476191043841,0.933517881702148,0.943602529117825,0.840774873652966,0.878910682598672,0.86179633967332,0.877158590053179,0.902196084260899,0.890675387779858,0.924857689488531,0.937070361305799,0.860784322023301,0.873133822491245,0.889803928136793,0.871633994579252,0.893790856003749,0.891627768675413,0.922589314310641,0.913984060287471,0.564052313566095,0.373906493187858,0.350920983337127,0.38937909156206,0.404024773522654,0.293395265155433
182,0.914511838289205,0.862637523370459,0.828770749270853,0.834739992799913,0.872580150763223,0.825343671006165,0.759590807167299,0.770132114878752,0.831236839945023,0.654901981348608,0.627451002596846,0.686974808570159,0.746044639882949,0.63861657927376,0.739482894631364,0.667624278815421,0.790113240899022,0.654984540686955,0.772149688114576,0.787256264836917,0.68445068170009,0.736699044819574,0.829528488216123,0.733333349223946,0.639215707763632,0.68948504328608,0.723723886179981,0.70456233393655,0.79874233781243,0.782934725284237,0.792711633588055,0.612961839374412,0.610883136123616,0.61235071050647,0.793333736635358,0.844705128658151,0.798253564457945,0.806802732603703,0.795125134082997,0.855505287645861,0.700949908890763,0.776850678435262,0.829717669444231,0.840126767303016,0.800547303207633,0.702429353106659,0.850822750047602,0.850072248358052,0.780047342386556,0.86140846699303,0.870821086131054,0.843923033057866,0.859422468272076,0.833333343267339,0.892829138039804,0.872259172148094,0.570105169134418,0.514985001002945,0.43359647285056,0.481085364567917,0.47875623748928,0.408831134785162
184,0.936929573793527,0.623608730623692,0.517356601026098,0.302996864804445,0.283394078501523,0.284789217192891,0.28507373222087,0.312240058725571,0.3169918531372,0.308930676438143,0.327186019839469,0.29252102077011,0.297531398723569,0.330687716781441,0.373801955974401,0.372311909115682,0.38353803753863,0.478565886734778,0.580513731301586,0.58870589971552,0.532773389409368,0.489713199325394,0.551421852011992,0.524918328970538,0.50109996374058,0.489000478895603,0.672528179719052,0.727892173081636,0.702706537285706,0.632897625366901,0.637710459304618,0.535855883521046,0.478262271296064,0.475662114637122,0.666913714465185,0.707112666438517,0.675579341975204,0.802193949794146,0.785694572287546,0.855104112133602,0.567687155115411,0.706410983139443,0.798210249469386,0.797335740264093,0.753032390461382,0.783885619525822,0.847276697556168,0.88974468142013,0.786019731376086,0.850409749800749,0.881085531223074,0.829655270950437,0.841509735866917,0.834181249947044,0.900307669991214,0.871148467063737,0.86035497318249,0.860174889097298,0.831171920687606,0.878761849041697,0.880666863227111,0.786327516710436
187,0.918966469920683,0.864097371183591,0.820221326964915,0.791694218188188,0.840030240042564,0.825990014216482,0.829112289103034,0.876016923960516,0.932465803157817,0.828235304355617,0.809286503742137,0.682685296414251,0.803777973584728,0.772887501865626,0.821753285925485,0.779180354826438,0.852221570833761,0.323063600623157,0.294607855379586,0.291932785511019,0.28150461486408,0.262693512596586,0.324447987852871,0.323665476696835,0.317848175764086,0.282246555006784,0.278110946314808,0.314605296642886,0.30689291699002,0.338306436309307,0.349617189168933,0.326910084691541,0.292738646268847,0.287609524549325,0.429141315920619,0.563521542005095,0.572715414654135,0.602836903105401,0.531951475143435,0.525490224361423,0.421111607237867,0.662658213578437,0.719144896914566,0.723421279474993,0.677722029515098,0.648766624350697,0.610681137756298,0.64585220813751,0.639880380388038,0.826481781758286,0.855617483666071,0.680213922804054,0.688095256686212,0.691690027713777,0.681192495993202,0.630858266939882,0.857669442623586,0.837721765041352,0.749883301556107,0.780853530939883,0.786374841734414,0.64321197271347
189,0.913830537348986,0.85526798248291,0.81186684127897,0.810539226979013,0.844251815268868,0.839239319763986,0.836149742386557,0.645026498902457,0.932518266229069,0.837220511938395,0.812965197222572,0.764705896377563,0.815513275125446,0.767033331277895,0.827036009894476,0.807843148708343,0.874000007510184,0.33504902943969,0.362450120987094,0.384456047367674,0.385214633232869,0.435294121503849,0.409535609107273,0.429873129900774,0.44570136070252,0.386789222434164,0.338255311761586,0.489452333285902,0.518935582999684,0.528463026208266,0.599683129426207,0.522091531753537,0.533842655745421,0.559197038412092,0.78294574937155,0.748739510774611,0.705373075875368,0.688557232493787,0.638071916997437,0.536066575483847,0.521951248006127,0.801558583974843,0.812502894682049,0.790392169356352,0.783137267828007,0.801400572061519,0.861733088570254,0.799859955906863,0.736139609179369,0.828583888212843,0.84855967980845,0.660563745722176,0.733333349227903,0.765625770445222,0.681154703100521,0.584062367677688,0.826279613104734,0.782425575786169,0.739124339113951,0.770671099004613,0.549695767205336,0.550356533039686
192,0.920196083187977,0.871957679589493,0.824598940935633,0.821241840719705,0.868836052874227,0.852676214398447,0.85180890140393,0.896800831744423,0.934150330722292,0.847058832645232,0.832012815134804,0.771519126314044,0.824313735961769,0.755882367491456,0.831215696334595,0.808154384295049,0.871493220329017,0.433551202216993,0.341666676103697,0.330680517589447,0.329492900906343,0.319953874630477,0.45588235557079,0.362745106219844,0.319887965917822,0.300653606652527,0.305379599332888,0.34661438822759,0.334282764478837,0.381092444062119,0.442675897303082,0.348529420793158,0.311764717102136,0.302564114332383,0.423372553587517,0.571644067764533,0.574117672443806,0.579645216465131,0.573589461190451,0.569498936335251,0.376573794766445,0.609653115273325,0.671510976904603,0.711111128330334,0.686834752559272,0.690662950277263,0.6870588421824,0.789176483154558,0.666013091802207,0.82966752933438,0.864513656672633,0.747404859346883,0.756862759589839,0.772222235798437,0.817086845636302,0.759139799302332,0.882956266403406,0.87145098805425,0.772424538930202,0.817073917388972,0.732056559518083,0.559358315033911
194,0.858896159463446,0.796368930074882,0.764008309692126,0.824283570051188,0.897516345977784,0.790196090936649,0.445518210530287,0.393409592409936,0.402847811579705,0.356656355293177,0.350403699804786,0.412990201264656,0.572487770579762,0.537710465265047,0.576190501451499,0.449516342878336,0.41176471114158,0.535724561388916,0.686797404289255,0.69872549772263,0.669784765417991,0.487145970265067,0.468954250216512,0.434670235623015,0.435807660222059,0.441363215446475,0.737009819597006,NA,0.786442571452675,0.720011550713982,0.562443464994444,0.462206845774383,0.472661066055302,0.48029878735543,0.772498756647104,0.868431380391124,0.23137255012995,0.820728302001972,0.686417130990454,0.67641761335171,NA,0.808403372764584,0.856086609885088,0.867512503091028,0.769934654235849,0.66259428858758,0.67428082662778,0.697843155264892,0.757479635517242,0.889019614458078,0.903648252920673,0.865986402545653,0.868247008145744,0.801034870247059,0.749766588211116,0.711594220088895,0.804820273071509,0.884570501744746,0.683061021069691,0.725882369279861,0.741612215836849,0.544938002313903
195,0.932341676333852,0.883967711645011,0.84081997383724,0.818538335236621,0.863822460174555,0.852037902628434,0.847105517983434,0.90217243035634,0.943358912156974,0.854973270676347,0.823725500702852,0.768276755402717,0.831462710068145,0.763672795026539,0.847720496448467,0.822371625900264,0.892529580218728,0.803264334215125,0.808294302594341,0.832352936267856,0.806968660875304,0.821098698072193,0.919438814808575,0.873684218055316,0.785047913250853,0.803814870970584,0.814082007516508,0.831151342391971,0.82450196743012,0.841609916561527,0.881191001998051,0.780090510845177,0.744435971433462,0.786838583750263,0.796510742405252,0.354660228915413,0.576470613479614,0.295132653502866,0.282877888501172,0.323289770881343,0.251115626302264,0.284890439580478,0.346167567101418,0.359577685594566,0.320399047512833,0.311832330350266,0.355294126272225,0.43653251152295,0.335327361094771,0.475124026996587,0.52129053054973,0.478586172587013,0.4421205553744,0.42783461640718,0.523529440164531,0.45638058762082,0.678565462430331,0.67745099961763,0.589494093700679,0.651568648219088,0.683065972544811,0.4429252816213
196,0.885361737732232,0.83605477650618,0.790309213101863,0.770804699171672,0.811198717540071,0.805717718510227,0.809168749292131,0.833271683387033,0.903365531074467,0.808917208841651,0.785190324222338,NA,0.780947900232784,0.757553350250675,0.806090652942657,0.776362099666369,0.838800470969257,0.359831163038815,0.326444101494713,0.324550664052367,0.314882838144537,0.311555312964527,0.345158380270008,0.338664731703517,0.308888900280001,0.297911350493849,0.306633854490021,0.353042780272086,0.34966869909188,0.42483660578728,0.47951511210866,0.39126051068307,0.364986002445224,0.37442859548789,0.580605310590379,0.659702521973646,0.552595182376755,0.64031864888966,0.584313750267028,0.568003590811378,0.473406864330173,0.727530703312008,0.76590183567493,0.763172919641841,0.70429506897926,0.705110572437018,0.702039233446119,0.741800371896129,0.675200554118918,0.822911349003729,0.852192866629445,0.662826817482709,0.669970816500646,0.685528319132957,0.66995060153124,0.598526464809075,0.854716432863666,0.821497336842796,0.68557687120493,0.709659763557073,0.688191739718116,0.561725120201254
199,0.934232030063748,0.872311835567631,0.844132586178739,0.821080743426674,0.866327934486741,0.85099519941019,0.792968234111515,0.883984741748714,0.939818022297848,0.842096848147519,0.808175485014429,0.786131050528384,0.823196789249713,0.765300073407784,0.731680139022381,0.782443451881449,0.875761375782467,0.784922677537797,0.794509816169627,0.823330499123689,0.790708182839708,0.811764717101846,0.937687431626299,0.872843144833933,0.760423723993987,0.797934185713485,0.809569809418787,0.808119315496434,0.799409883930423,0.81360738176897,0.810483158803544,0.495944741774878,0.387309986889209,0.341928561665155,0.288927011952446,0.343850276688419,0.406408422601689,0.385901033880444,0.488627451656532,0.463017431398943,0.33446410225266,0.392883085544383,0.433053225280623,0.394509810213025,0.388725496829607,0.417116018013296,0.461940010060591,0.50227632878933,0.449742005060255,0.574742464697441,0.550839447509326,0.566263410640046,0.586721730861033,0.600286967871901,0.599110746250967,0.527579819199282,0.655352736342124,0.620667749164664,0.547058850527829,0.564994865970322,0.519146510785359,0.14748833477606
