"...1","median.X2016.11","median.X2016.12","median.X2017.02","median.X2017.03","median.X2017.05","median.X2017.06","median.X2017.07","median.X2017.08","median.X2017.10","median.X2017.11","median.X2018.02","median.X2018.04","median.X2018.05","median.X2018.06","median.X2018.07","median.X2018.08","median.X2018.09","median.X2018.10","median.X2018.11","median.X2019.01","median.X2019.02","median.X2019.03","median.X2019.05","median.X2019.06","median.X2019.07","median.X2019.08","median.X2019.09","median.X2019.10","median.X2020.01","median.X2020.02","median.X2020.03","median.X2020.04","median.X2020.05","median.X2020.06","median.X2020.07","median.X2020.08","median.X2020.09","median.X2020.11","median.X2021.01","median.X2021.02","median.X2021.03","median.X2021.04","median.X2021.06","median.X2021.07","median.X2021.08","median.X2021.09","median.X2021.10","median.X2021.11","median.X2021.12","median.X2022.01","median.X2022.02","median.X2022.03","median.X2022.04","median.X2022.05","median.X2022.06","median.X2022.07","median.X2022.08","median.X2022.09","median.X2022.10","median.X2022.11","median.X2022.12","median.X2023.01","median.X2023.02","median.X2023.03","median.X2023.04","median.X2023.05","median.X2023.06","median.X2023.07","median.X2023.08","median.X2023.09","median.X2023.10","median.X2023.11","median.X2023.12","median.X2024.01","median.X2024.03","median.X2024.04","median.X2024.05","median.X2024.06","median.X2024.07","median.X2024.08","median.X2024.10","median.X2024.11","median.X2024.12","median.X2025.01","median.X2025.02","median.X2025.03"
1,0.560471656710603,0.593738352879882,0.5445515396834,0.520109001560947,0.840023077586117,0.911895810084981,0.900169560073377,0.883471600711346,0.772012592205461,0.655105379112528,0.518445716295874,0.56438323810919,0.893560340872375,0.902832689487369,0.892098986244729,0.880102952626633,0.89175533907589,0.864990574720594,0.558502473399066,0.59587205711164,0.498039228857582,0.379067855114352,0.325994057791554,0.307267530989681,0.318573243620338,0.344593785789416,0.376311970359824,0.379943529280221,0.374049100828798,0.369008383262499,0.317893738858401,0.31391108992659,0.566663261551869,0.622557989621566,0.678010746168396,0.67184948323308,0.705314951757454,0.586363100473917,0.383472194103726,0.429669471979141,0.418954253196716,0.43716617456134,0.837868062962484,0.879934911225592,0.864983681715907,0.89374583058887,0.828251845950697,0.75457775123476,0.784443719809078,0.718229183461516,0.669695582123179,0.585904316468672,0.549082350304748,0.866889559453534,0.881462265171257,0.887415623902946,0.838188249128635,0.823683985728006,0.733960800170898,0.724411236805948,0.748090470709451,0.321325953122433,0.61493903464952,0.4864295049332,0.528386055567618,0.85463403618854,0.824785643351187,0.904834957528942,0.901428073010546,0.90797541787227,0.902279472916175,0.742745113372802,0.776135952391699,0.682235573916107,0.560619822052651,0.606425870980091,0.622650582715868,0.875827213283628,0.893644868655771,0.917073432604472,0.824944777073155,0.76402468496645,0.708356102433385,0.670995069041132,0.590277564008625,0.554462115574246
2,0.978717116255254,0.957957138848857,0.892427083249644,0.851149272405357,0.913704486936331,0.924831937253475,0.913040063613464,0.897214479544728,0.909708278935127,0.956228566641852,0.835916758041526,0.861112352587141,0.848948998560851,0.883949754480832,0.850974472742232,0.855787088317932,0.881852665801106,0.899607849121092,0.785277513629288,0.995837280987646,0.883957226168023,0.85565718313409,0.433137258887302,0.341044063459746,0.345673834284151,0.358774076603556,0.359492787522474,0.348331622387241,0.416808097388753,0.419077109349407,0.361698514012281,0.335061106733656,0.406448807319011,0.469328755227323,0.473316284625433,0.494444444775578,0.477619066408715,0.532644752413037,0.196598996762684,0.402682798543826,0.379566570645889,0.376351335020954,0.616809955982224,0.728261705487968,0.724796601704189,0.755749380550929,0.6862396701177,0.656509824395182,0.649610976378123,0.587033913314689,0.547149857388269,0.48235294268823,0.465234443674917,0.777216023650054,0.798971403817662,0.810351228713991,0.787865353080462,0.764655295495065,0.57022269095405,0.707303538309458,0.764324803524254,0.17264625319272,0.59357459691106,0.510245231306476,0.508744569751325,0.697682727466931,0.791137041973656,0.865158160958528,0.859074518203737,0.849816580741638,0.829069777630098,0.717647075653077,0.76095239520073,0.645809113979341,0.57976134914664,0.609183867772421,0.653683630008147,0.840379911474884,0.882492505782861,0.892958049812623,0.665948231256648,0.674748150683249,0.732586383819583,0.66097167001409,0.625687234994899,0.583596239330645
3,NA,NA,NA,NA,0.861417806148529,0.898221620293551,0.881841439267863,0.849782144029935,0.670196098088782,0.918300658463543,NA,0.55032681611677,0.827048778533936,0.847015259663264,0.736694693563629,0.782456153317502,0.810757091889779,0.771372562646866,NA,NA,NA,NA,0.677585563238929,0.836470597982407,0.857516328493754,0.773913069910799,0.78722977638185,0.778039228915296,NA,NA,NA,0.568067252636164,0.872846115719188,0.817591047286987,0.817568647861481,0.81137256026268,0.803294129371643,NA,NA,NA,NA,0.494553385509565,0.875113129615775,0.818823540210724,0.769689556211233,0.860784322023162,0.818181829018882,NA,NA,NA,NA,NA,NA,0.884355451198236,0.856904472442383,0.868627429008201,0.853267967700416,0.845359486341476,0.863962144687258,NA,NA,NA,NA,NA,0.458823531866306,0.37754011425105,0.733333349227905,0.844577840396336,0.856535956263542,0.84675717353799,0.861990958451815,NA,NA,0.651960805058358,0.547712445259417,0.626093536615539,0.780392169952393,0.87843137979501,0.781400573253607,0.834547162055969,0.738997836907642,0.764705896378064,NA,NA,0.564705908297765,0.603529435396131
5,0.86270912852852,0.852093278556232,0.780989970012372,0.740326812863398,0.869667874915237,0.866942563847647,0.866481403666176,0.865968095628819,0.826436319134483,0.856547476658289,0.74430381270899,0.762242347002001,0.831165321716416,0.840908039361216,0.816496444745644,0.462745114890012,0.384310968771556,0.378267981112062,0.373746320209709,0.21505190519742,0.320705893039726,0.287508274397183,0.360985428094876,0.38818718337581,0.374395959415776,0.397159992015607,0.425496802486586,0.520155917043344,0.661980535624059,0.643672035499016,0.599599279626411,0.59135246276864,0.608178337415122,0.714955803226082,0.666216926558053,0.561327326297719,0.541140847314583,0.615656588565298,0.540531176555092,0.511312246322713,0.503281010324149,0.576032671831645,0.837371779593472,0.718653964835295,0.812004813126309,0.845260544376516,0.786484606564075,0.770964561086754,0.656977431293144,0.590822321894323,0.525214395391861,0.464176813761426,0.474509805440981,0.768863703831284,0.641561945279474,0.652265835470653,0.600211997289991,0.633654210784245,0.385106280328752,0.408958451190184,0.50155677361924,0.145953660390594,0.449091267447161,0.419607847929041,0.559592373827703,0.745815727056287,0.656086272663565,0.605771768093141,0.721687479452693,0.756920856899746,0.686633208539474,0.733333349227905,0.694509822130278,0.616395054875753,0.605797124945634,0.678842745044064,0.703869530057539,0.627542201862813,0.656991764510995,0.645714306831471,0.796451926231411,0.598717498329545,0.556034884850219,0.536583670087809,0.48235296233419,0.497227856825184
6,0.827450990676907,0.878594778478142,0.825339376926414,0.797285079956051,0.92632204836065,0.922370771115474,0.910034607438477,0.819984927773478,0.885251498740647,0.829233543439373,0.782843150198452,0.810588246583937,0.881227312816512,0.894328490380318,0.873411772251131,0.871382484707653,0.893432935078937,0.881011359001459,0.817496240139008,0.992490613714177,0.774901974201199,0.821095345349144,0.8454248458147,0.883764712810511,0.899698346853249,0.871926184962771,0.845627148946118,0.857908505201338,0.899245858192432,0.873440292748537,0.815686285495754,0.828724662462867,0.907223065694173,0.587799588839217,0.847581730948548,0.857172351134451,0.866293191909787,0.857415795326233,0.897647064924238,0.749226021139243,0.748039230704306,0.809313736855975,0.382826240925959,0.43490965401426,0.48382355645301,0.418223764966516,0.41760704772813,0.456516726928599,0.390080744729334,0.358307541985272,0.346296305457756,0.336242894011164,0.379831939935684,0.588235318660736,0.667921588420868,0.670168116688728,0.598657020967301,0.635480880737307,0.52406419949099,0.670841259341091,0.642251760728898,0.340653604269018,0.494901982943217,0.432418304681778,0.506522638457162,0.763660144805892,0.805322140455244,0.847289513139161,0.832736582859703,0.83039216697216,0.814071522039526,0.708451673902314,0.669683277606964,0.651764726638794,0.572311374274167,0.726610660552979,0.739433566729228,0.891316533088684,0.881389755951731,0.885424843430519,0.76078432798386,0.775163412094127,0.737556576728823,0.713882369995128,0.567973881959915,0.388426596798557
7,0.93480214292353,0.926257463900941,0.871258314918069,0.843556363164015,0.892352947592734,0.916577545079317,0.902816405079581,0.839651425679524,0.891372555494309,0.931185784794034,0.824569093903829,0.847514828970265,0.854947044931609,0.884590253233909,0.861461792362335,0.865387902311656,0.890196084976196,0.891033701526308,0.837763263119594,0.996078431606293,0.822932661875434,0.863294125795364,0.8330819606781,0.878010610654119,0.887162042918958,0.864881123000003,0.847285903115787,0.854466239611307,0.944101033574442,0.911922475387309,0.864025618348802,0.846132546071185,0.8863921636343,0.357932272282518,0.870076718537704,0.852492754769432,0.871930524806849,0.914851130710709,0.990542099756348,0.785994410514831,0.772686632055986,0.860049919215115,0.363398700952531,0.461319075389345,0.530514733865874,0.632780313491828,0.506463355488249,0.516212367429969,0.425051218982954,0.39655619209188,0.370204171876319,0.351215695142748,0.37961304444351,0.701960802078253,0.779248379170897,0.807147059738637,0.746882218498369,0.743773435751598,0.670000019669531,0.637869246527874,0.588289784888422,0.282426483556629,0.469654537382578,0.423502371023443,0.453789876912959,0.768431386351583,0.835786245850955,0.888028063425205,0.877734212080637,0.866666674613952,0.831895434856416,0.655115607647578,0.641319963990181,0.582041251659407,0.544979230924081,0.632730036973951,0.642701546351109,0.889075636863708,0.884028029299067,0.901099463765935,0.680495375081108,0.711642174050209,0.684123457232603,0.648529432713983,0.492289378433612,0.353880858173767
8,0.932212889192689,0.91820728778801,0.850280120968369,0.825708071389926,0.894011665034834,0.906405234336812,0.897721256758798,0.894809694851027,0.886524829458498,0.919117646556369,0.792513381350363,0.820751644669873,0.855573228887747,0.875599135955161,0.860566457112946,0.861064434051716,0.88096405938273,0.88562092185005,0.797385632992087,0.982241954443701,0.800083449545997,0.84104576110814,0.827886720498445,0.861300317864849,0.878431379795337,0.850457529227149,0.840126767303161,0.838431382179551,0.923311551411516,0.895625948905498,0.837777787446715,0.832076430320491,0.877404302358835,0.738562107084405,0.819679154591531,0.84084968268895,0.86086957351037,0.903632776681466,0.925054470698039,0.772549033164825,0.761718034744121,0.83691684542003,0.378431379795511,0.431372553111023,0.50196081400063,0.472991783772745,0.475210090833501,0.51493215561092,0.402210344509804,0.363673898735769,0.345701366663315,0.343058832883835,0.396078437566757,0.663025230169746,0.692549037935094,0.725770325888221,0.688235282898255,0.706274527311761,0.590931396931561,0.686274528504751,0.630532234904554,0.293464064597808,0.467873305083216,0.34973262927793,0.485838780799784,0.814800770052143,0.828061012427071,0.880319542355079,0.857118508090354,0.855686283111863,0.831833920058196,0.680000019076329,0.682352960110583,0.649170458320829,0.609558846799481,0.704901978371937,0.688394295201462,0.893333339691273,0.861437916755866,0.884313732385805,0.705882370473812,0.722600635731583,0.707757903182565,0.660130739215698,0.544362772255803,0.347450989484955
9,0.844433375839459,0.846750047732524,0.764369761943618,0.731318739582498,0.845052448816079,0.851540625095436,0.833889073547833,0.858293596151752,0.809669862190917,0.858601383387791,0.719893064823966,0.780224581559566,0.816482974932796,0.816299030557225,0.793044645518542,0.563540036614112,0.399584082040082,0.412000594954891,0.332761447876813,0.111963930734105,0.31058824658398,0.284996957768831,0.36937442421918,0.640385298352816,0.574965795805925,0.354057323932688,0.353266093600078,0.604705905914447,0.713397270257327,0.693103926522608,0.621719479560948,0.633496753871669,0.804824729399465,0.680072978485535,0.485602556591898,0.428994713226955,0.458269555661836,0.689052306115717,0.194326244453159,0.550854851459701,0.5645660694256,0.591438431776291,0.900641383968788,0.57566015601161,0.7306463486619,0.842086122208127,0.849230778217429,0.811489519320225,0.605228781700219,0.513910790128169,0.449203772933496,0.522428649036635,0.655380670453592,0.800230692414604,0.557688364857286,0.588283733821291,0.392865586352681,0.555403583271798,0.442156895995143,0.353557217052707,0.4651918907961,NA,0.528908105071678,0.461649367914557,0.73299633944416,0.844399817978546,0.645287352832899,0.408958451190068,0.348279180851724,0.274775421595657,0.270526974461944,0.424528076596884,0.409840922872924,0.353429412626369,0.347399838592685,0.366391798324846,0.320213914459464,0.339081570554751,0.680360031909703,0.553885894663316,0.792463447255535,0.818410743537746,0.716927013659925,0.656074543331996,0.607476860284879,0.627541500330044
10,0.637500021606795,0.739915981889221,0.704139451186185,0.695063043385822,0.91839402914038,0.927199602126976,0.906928110122551,0.74845939874649,0.80213904922738,0.76596954266254,0.670779550947794,0.725136917990799,0.881045758724153,0.887941183149742,0.864542491733955,0.850539224594831,0.863431380689144,0.864869289100483,0.800333762422748,0.796078443527222,0.635294139385823,0.686486505173505,0.828482982359247,0.88190731541662,0.896337981609545,0.832518861843811,0.883986935019251,0.82248367071114,0.752941191196889,0.726583108550403,0.680473875254615,0.783753514290041,0.89962652325614,NA,0.867109978976347,0.855933961115079,0.818907575945734,0.794570147991404,0.73288516998291,0.631862767041578,0.623716175557983,0.745795222123464,0.88701643492714,0.861601315438747,0.875867277383804,0.872657959659907,0.835921578407636,0.86930359129263,0.525414809584897,0.477526396513433,0.43700980767638,0.398558252874614,0.327030822634939,NA,0.381500433321111,0.416817501188536,0.438830535859207,0.510971084237226,0.61176472902319,0.675980411470161,0.674981863962378,0.268044528928944,0.468440711499068,0.410661770031129,0.480344334026875,0.733777300366998,0.72941178083465,0.767823040485457,0.791094783693774,0.814542494714704,0.829614614618403,0.792647071182364,0.728921584784991,0.613876342773587,0.533725517988367,0.810714296996593,0.799439787864764,0.869362752884808,0.884241110748894,0.888782907176749,0.847058832645072,0.86260987972351,0.738499859968621,0.783088248222925,0.727314197739642,0.740763689342094
11,0.484235295057295,0.482352959215641,0.461192812770609,0.599272310119314,0.895379767335694,0.899698346853256,0.886634660618646,0.801488755477798,0.719771258533003,0.462506626506109,0.470237051817913,0.721938067156335,0.862401803936621,0.856220052142938,0.830767740064593,0.827069245081032,0.846583491021936,0.832952079673607,0.441434472015029,0.514388319472191,0.44549746149116,0.615818273276091,0.820886830631778,0.851715695112943,0.858926735426251,0.83258741122225,0.860800526851465,0.804178131517963,0.529360863295473,0.526403003211678,0.679627802412388,0.80220916211605,0.864506180915567,0.421683972372728,0.839849172303309,0.808013651681982,0.760206122428952,0.500803003140856,0.503324828070141,0.45466186744826,0.543087005615233,0.814040627330541,0.851655079472449,0.819313736259938,0.846666675806046,0.840196087956428,0.765205005082218,0.633644590775171,0.449418414447271,0.411134459078314,0.395506542176014,0.339775919914248,0.304590553746506,NA,0.380422801245008,0.437535017728818,0.475686275959017,0.598748459460891,0.680741356660243,0.726637988555723,0.705497902982376,0.312370777671987,0.515434920787813,0.436630040407179,0.485990338999298,0.743621100078933,0.699306811347158,0.810864685011693,0.811038500732853,0.814197541938889,0.815947723388673,0.751178284303855,0.687457760346348,0.57784005006155,0.507919560779228,0.77808824852109,0.805835679173471,0.871078439056874,0.881142587573441,0.876198264459771,0.816147646483254,0.8337370341315,0.65763307362795,0.725395335785805,0.664573416919318,0.655392177402967
