"...1","median.X2016.12","median.X2017.02","median.X2017.03","median.X2017.05","median.X2017.06","median.X2017.07","median.X2017.08","median.X2017.10","median.X2017.11","median.X2018.04","median.X2018.05","median.X2018.06","median.X2018.07","median.X2018.08","median.X2018.09","median.X2018.11","median.X2019.01","median.X2019.02","median.X2019.03","median.X2019.05","median.X2019.06","median.X2019.07","median.X2019.08","median.X2019.09","median.X2019.10","median.X2020.01","median.X2020.03","median.X2020.04","median.X2020.05","median.X2020.06","median.X2020.07","median.X2020.08","median.X2020.09","median.X2020.11","median.X2021.03","median.X2021.04","median.X2021.06","median.X2021.07","median.X2021.10","median.X2021.12","median.X2022.01","median.X2022.03","median.X2022.04","median.X2022.05","median.X2022.06","median.X2022.07","median.X2022.08","median.X2022.09","median.X2022.10","median.X2022.11","median.X2023.02","median.X2023.03","median.X2023.05","median.X2023.06","median.X2023.07","median.X2023.08","median.X2023.09","median.X2023.10","median.X2023.12","median.X2024.01","median.X2024.03","median.X2024.04","median.X2024.05","median.X2024.07","median.X2024.08","median.X2024.10","median.X2024.11","median.X2024.12","median.X2025.02"
80,0.984313726425171,0.859290391206738,0.865184130465111,0.90541177034378,0.926225494593382,0.910410836338998,0.800000011920926,0.902136382771965,0.995872033269781,0.850311951881101,0.847159385681153,0.901148212922587,0.881950736045837,0.792748809985395,0.893464058637617,0.931372553110123,NA,0.8518564961058,0.874593249026764,0.875392164289952,0.880392163991928,0.891666650772095,0.844260732064377,0.910342181430144,0.825543200647504,0.978280544281006,0.841779798269268,0.863046765327452,0.891529418230056,0.896885819294874,0.895686280727385,0.881402264941822,0.905882358551025,0.930488277884084,0.79210240890582,0.858273142262507,0.904024773522426,0.895378157496452,0.961140822280534,1,0.997527706882228,0.855098047852514,0.842208471737406,0.881685447185596,0.873568634986875,0.870121389627456,0.892563824383716,0.887318159784038,0.909634893824312,0.981176471710204,0.952442070570857,0.795776784420011,NA,0.888671030600867,0.898039221763614,0.851960793137551,0.898968014277912,0.90282486454915,NA,NA,0.28980393409729,0.881666673719882,0.868371704350347,0.879466238121192,0.878969634280484,0.867825319821182,NA,NA,NA
82,0.91486636828631,0.86085768469742,0.819627560263299,0.781140505939446,0.847151104842914,0.83943954859929,0.819130015723844,0.885361626890834,0.912479876392127,0.494669026431464,0.355740483650346,0.345029249003066,0.348059232745852,0.350722608694524,0.377501264214517,0.397834363713189,0.161105174639009,0.336257902747491,0.344998226707625,0.502358378971224,0.575098064541814,0.541384107225081,0.390434788621014,0.344573331550821,0.291748711892541,0.335386696675312,0.309606538522965,0.289566703416686,0.419607847929015,0.559679170630205,0.535370539535177,0.487150200651687,0.477963367730019,0.468633236874523,0.387632515531546,0.381908661739342,0.587244153022761,0.69803923368454,0.57054712555625,0.54249972653535,0.498039230400202,0.427012691778287,0.447976640564313,0.652463126098307,0.751135576971993,0.737605875104318,0.665227123453647,0.663519440562862,0.631622474859739,0.659115581436346,0.569822621345501,0.487473178697063,0.580847170471471,0.850107876041986,0.881736249933313,0.798964951118123,0.7559454336501,0.68968795000667,0.668220515521063,0.443835446103036,0.520896387100209,0.558152054270643,0.578921593725653,0.841358878584793,0.84357299407323,0.679755557667073,0.708039911560517,0.677390596312897,0.379037953323577
85,0.904695568116088,0.854359727877158,0.81623179549605,0.791789228096604,0.859479175042361,0.847504465417428,0.832381983281268,0.887503225628923,0.909113795860954,0.62629139904053,0.362511679530144,0.359306965882962,0.364550033211708,0.384584185378305,0.330362988635898,0.386473740645271,0.184944786388299,0.345720090331702,0.355344107045847,0.463333335518837,0.600584819128639,0.570578018824259,0.513749838799469,0.403548373736644,0.331965026237982,0.361722088378409,0.312122398614883,0.283232621032081,0.418967869753639,0.58708442358867,0.571206334168496,0.506807280598946,0.48744801025499,0.459300680872152,0.410467814507447,0.400817576756326,0.625130074364798,0.738868155413204,0.550722715854645,0.52530701977737,0.479695101756879,0.408177295681748,0.429656866937876,0.648981182014241,0.755836615860462,0.748460666221731,0.715020247300466,0.681358562409878,0.604025337431166,0.645305672813864,0.556666693091392,0.487881264338891,0.617957421558366,0.8418710751947,0.874229699373245,0.798373805979888,0.789558594596797,0.724165535491446,0.634958287180221,0.430442467331886,0.520572945242748,0.570109680859963,0.621170116633904,0.832289432807707,0.845979807160117,0.662398712933064,0.685352493077517,0.686800160411611,0.419098553332415
86,0.578898251056671,0.495891706574531,0.486705288968303,0.84621849656105,0.91414902472496,0.900314471350526,0.872943258947796,0.619585584171794,0.567602922787537,0.490196082679952,0.814233852757348,0.886467155029899,0.844256368901232,0.85241830945015,0.854373721635505,0.533742755651474,0.440441180020571,0.484698553230161,0.491263617078463,0.883349957102436,0.869293744702941,0.869965285528451,0.844093737078876,0.856438067651564,0.740573167800903,0.529193927844365,0.328183331762452,0.298307545561539,0.311886098980904,NA,0.338989451527596,0.301861933049034,0.352749889216772,0.444718250954473,0.354538275589866,0.338894840262153,0.444382932957481,0.563504502952443,0.54987433552742,0.58452821103856,0.539853838773874,0.407259079370093,0.411274515092373,0.585683613199077,0.653639726527035,0.633778987960382,0.658585878935727,0.636979441504833,0.701540634036064,0.71985640995939,0.609150350093842,0.504331308403122,NA,0.78167268208095,0.776993477344513,0.720121085243737,0.779863069454829,0.770806113878886,0.822440097729365,0.694078449606895,NA,0.705050522630865,0.73102654429043,0.851693413474343,0.847792459385736,0.786831288426011,0.808901349703471,0.812552875455688,0.663199446186787
88,0.938359792033831,0.88296919465065,0.852747588821604,0.859462077557046,0.880394311619745,0.864964861914797,0.869541266902548,0.892782200349344,0.940058990130349,0.490857873484492,0.382336087626644,0.32901890372318,0.319956765363091,0.308046814683984,0.309132298403232,0.316392167806625,0.192747787457623,0.29180727795113,0.298051598602289,0.347849793050249,0.404412867038842,0.418085111265487,0.40968768104263,0.355882361531258,0.381491543849309,0.388479226086128,0.340156872272491,0.328859251491802,0.463646079154359,0.576452202360395,0.597130243773994,0.527743570009867,0.521752002022483,0.46117714154141,0.40265406742692,0.401493936777115,0.663415579834292,0.756730571891485,0.620370607010742,0.688000427093357,0.620774999260902,0.516067813424503,0.541098689039548,0.746154711507219,0.790903829611265,0.796915044784546,0.766248086195313,0.760421105793544,0.671944772297481,0.725881553984977,0.653519789214994,0.562613148242235,NA,0.883432643354268,0.890370729722475,0.829807409822544,0.840136192619226,0.807782349198364,0.797997860968867,0.649569930595013,NA,0.699547529220581,0.713760836704357,0.882208648053083,0.880335762416046,0.744352778967689,0.777693456219089,0.768055569380522,0.553215640684518
91,0.936898188220139,0.900120876219155,0.880377893364563,0.718702287148433,0.909660715045346,0.900858931080008,0.885342353450208,0.933239035073894,0.9475009096084,0.870044990444857,0.851056455698868,0.884442464470277,0.875148856546539,0.867070917051968,0.873525396453388,0.93354267369808,0.930436394190534,0.891327863462822,0.892665308524525,0.863544572441227,0.873355988238702,0.884870796822093,0.853770645811599,0.897784114987759,0.856612501259384,0.882380181302575,0.863241308441568,0.869569894274575,0.84472518656001,0.794232038408199,0.842683951385685,0.817309747038121,0.838353745517384,0.832315038022503,0.438135038638054,0.361967274472807,0.321361536518737,0.367623122265032,0.391194447602072,0.389000952496466,0.357740143183353,0.32482618204475,0.319495349878451,0.335892773966966,0.366059161269779,0.363298724702909,0.345237838903286,0.357882361412052,0.387765883753449,0.414141736576515,0.321296645247431,0.295005149167515,0.361463321497921,0.570580257688359,0.528719449599292,0.470146231843143,0.504851183257512,0.511476958198389,0.482352965951979,0.30065541216355,0.284756800159944,0.481222478937222,0.524252566251396,0.685654120035007,0.64456754194221,0.548676139681855,0.591305910437147,0.569528572370873,0.32247593077357
92,0.943856126610383,0.897733283803766,0.860103519941742,0.804988969664033,0.852585209533503,0.838614228312908,0.831404673825377,0.916127006258377,0.935381118754856,0.831916632523363,0.789022041139728,0.819204701998496,0.803314239978767,0.797029544473286,0.813573545100639,0.894681129815433,0.92616017234067,0.846617498581821,0.838681939079991,0.788911023139914,0.789570880889844,0.79664158447599,0.773410433680896,0.827226425784713,0.793427242359604,0.86611145255821,0.795765262717959,0.80346088030271,0.784216669821448,0.769310576684975,0.776984593532579,0.749064633630754,0.802201338416963,0.878019587062404,0.729287941832091,0.402198804423992,0.273020657910206,0.298130426989178,0.343914971919531,0.36932955779047,0.363920556824812,0.332342271516667,0.327002691725996,0.333761284879669,0.360686282813613,0.343422469225838,0.328754515124356,0.373441477154493,0.438702281221899,0.524846241316211,0.398576989581322,0.365772626970036,0.344410936037826,0.590578073804821,0.55577930640466,0.444762778868934,0.539135973818879,0.608162358056378,0.597068840217885,0.328266538086086,0.286590051034586,0.552838964835059,0.599067811012125,0.659783727575711,0.618423051529499,0.562338168890785,0.596263197428023,0.544735568411097,0.207723579756066
94,0.847385630011559,0.819234371185303,0.782969200611115,0.865882360935211,0.898599445819855,0.884021700696742,0.868101394757992,0.803651127321967,0.876960791647434,0.736984464628943,0.829956437150637,0.859457326657844,0.849197869951075,0.825668459588831,0.741493380430973,0.799836613237858,NA,0.789978226025899,0.751871672543612,0.857041006738489,0.844800959933888,0.828758180141449,0.824705898761749,0.867538134256999,0.790196090936661,0.8714737584514,0.745811066844247,0.749960799217224,0.855462193489075,NA,0.596427039305369,0.367320269346237,0.379607850313187,0.702564120292664,0.367016814649105,0.346778720617294,0.325028845492531,0.375381271044413,0.584313750267029,0.538235317915678,0.687512918522483,0.315323177311156,0.291101068258286,0.347781226823204,0.493960814476013,0.521568655967712,0.456209152936935,0.589542508125305,0.82745099067688,0.932920540633954,0.78091504573822,0.414379090070724,0.684848503632979,0.790924382209778,0.799643505703319,0.751048020247755,0.809625679796392,0.736819187800089,NA,0.896470594406128,NA,0.5686274766922,0.683137273788452,0.858533051278856,0.841803397451128,0.747812986373901,0.950263035006639,NA,0.375565618276596
99,0.947725112577086,0.873237187042832,0.836093670534856,0.888821144838159,0.920797176048404,0.906459059785394,0.882472996200834,0.911764711141586,0.940535694945092,0.826982581118743,0.846988804638386,0.875467665750405,0.704809622596139,0.834436006489254,0.828812646369139,0.896407849311829,0.886570484008429,0.841251894831657,0.842241206957448,0.869144799266654,0.867117125037554,0.790608277713711,0.852094739232913,0.896929343916335,0.834040137570958,0.955478664706735,0.812052440870067,0.833006545901299,0.877243518829346,NA,0.866224742232693,0.830900518430604,0.866470596194267,0.91880370609546,0.763058479518107,0.808270138963246,0.893687656835506,0.871878759137222,0.710434995848557,0.827886720498403,0.652244602771182,0.466633575249322,0.415808828547597,0.36405947804451,0.380707290023565,0.37707953478979,0.393648405869802,0.436385292370441,0.548965914608681,0.643406767839504,0.429611848933356,0.372122769770415,0.514551112526341,0.684767937256118,0.703351176326925,0.590826963860056,0.614735614169728,0.638162694043583,NA,0.612149439846413,NA,0.50782621456498,0.561470078640297,0.8129988577436,0.828483831735305,0.724192634663161,0.799457667355842,NA,0.431372553110123
101,0.574880465319975,0.474509818467083,0.490196093007432,0.875460017397701,0.929796922951936,0.916243356265378,0.886482384527407,0.704278441324636,0.605923226103199,0.482352943771217,0.858936916504588,0.905625304525217,0.888070573651693,0.876869744832943,0.862519050899304,0.575447595637775,0.493296171735943,0.50431792097206,0.489335136989069,0.897435903549193,0.88813011428185,0.89529692588665,0.591678315502122,0.369189755851541,0.35590474491251,0.399147491092312,0.335613662666749,0.314318064265024,0.345486824625542,0.448368254487652,0.435006686285439,0.372031984718545,0.417718867097128,0.452015894183942,0.384692739981881,0.390726650111822,0.596995499134084,0.675315923492147,0.563749792575852,0.532441292662906,0.485607014691631,0.439922447837718,0.521656678787694,0.731201489899787,0.737737686457974,0.684019626677062,0.629185344525237,0.640006521294828,0.683617665916694,0.694676660785557,0.545312527101478,0.479839337817374,NA,0.867946895363833,0.825700732783265,0.749656999303449,0.760635137881945,0.755510726576202,0.763058433366782,0.561150599594386,NA,0.689860981052562,0.738701397766816,0.852508341042413,0.849625677412209,0.724692072719324,0.768147094478045,0.768003578890441,0.482425563865215
