"...1","median.X2016.12","median.X2017.02","median.X2017.03","median.X2017.05","median.X2017.06","median.X2017.07","median.X2017.08","median.X2017.10","median.X2017.11","median.X2018.04","median.X2018.05","median.X2018.06","median.X2018.07","median.X2018.08","median.X2018.09","median.X2018.10","median.X2018.11","median.X2019.05","median.X2019.06","median.X2019.07","median.X2019.08","median.X2019.09","median.X2019.10","median.X2020.01","median.X2020.02","median.X2020.03","median.X2020.04","median.X2020.05","median.X2020.06","median.X2020.07","median.X2020.08","median.X2020.09","median.X2020.11","median.X2021.02","median.X2021.03","median.X2021.04","median.X2021.06","median.X2021.07","median.X2021.08","median.X2021.09","median.X2021.10","median.X2021.12","median.X2022.01","median.X2022.02","median.X2022.03","median.X2022.06","median.X2022.07","median.X2022.08","median.X2022.10","median.X2023.02","median.X2023.03","median.X2023.05","median.X2023.06","median.X2023.07","median.X2023.09","median.X2023.10","median.X2023.12","median.X2024.01","median.X2024.04","median.X2024.05","median.X2024.06","median.X2024.07","median.X2024.08","median.X2024.10","median.X2024.11"
1,0.913497497176263,0.83764706850064,0.798039227724167,0.776985554984289,0.876423536777602,0.865040188050731,0.834692462176613,0.589158040634574,0.895521671683676,0.392755840714635,0.34285979479004,0.323564311681908,0.323813306864018,0.311874366218471,0.314692821503485,0.334786897575798,0.437009807677015,0.32169118709892,0.394695833325904,0.427804568752656,0.42516677219992,0.390336140990535,0.421960788967248,0.873284321277752,0.415070033073789,0.337150799226032,0.31724778272904,0.430313278889636,0.545129438877948,0.546388778755278,NA,0.491455734318264,0.734358304603717,0.346218496561377,0.364158024244647,0.352107851952631,0.607843160629962,0.714728180996827,NA,0.669444464147873,0.586523522933538,0.63977593183937,0.52401666532936,0.528724416722304,0.377010521681537,0.776173513044863,0.792509274136889,0.722784100918951,0.584458993541595,0.605169363997731,0.385873447087967,0.246790682276186,0.848959285020908,0.866424934096656,0.802682473634893,0.756758647155351,0.878230845048322,0.769246659781934,0.555925541329036,0.602199135399781,0.840537572844773,0.890858005756043,0.851225499063594,0.62340592023903,0.788608789444824
3,0.802407992513402,0.719292596508264,0.685154080390759,0.79885551985746,0.891666673123768,0.881053928658279,0.855559097109573,0.591564091831669,0.534687235951468,0.352358249393739,0.348039224743894,0.335063216750584,0.342055452281179,0.350904986262504,0.354158223703292,0.350724646578724,NA,0.344005152339603,0.456470590831399,0.445193226187402,0.463512363641278,0.430208337493834,0.395743669533491,0.406438401830935,0.395537531581688,0.355700807439183,0.339070452584523,0.443678808212601,0.478453039958542,0.49411765371796,NA,0.488658209058452,0.473292796777816,0.380215060903346,0.405341452566509,0.380682650539973,0.551089351376544,0.652100861073065,0.576470613482,0.618390827344183,0.566591277719744,0.562393188477366,0.527380701555333,0.509504997142418,0.433952532316702,0.650867290795449,0.669656397095489,0.630820646551437,0.589237497250436,0.548816525603944,0.475806191687009,0.637503754064259,0.760556990685895,0.771632579681965,0.753107560765179,0.738849260181854,0.744488398818661,0.678041670633961,0.639073105292584,0.692226085242549,0.775536894798499,0.814077436924138,0.772981559091016,0.643983978439636,0.709106771151483
4,0.910973806591408,0.834632153312316,0.807733499592012,0.591568651795465,0.861769150285114,0.853774518519487,0.843111464459593,0.214761679129265,0.912670831111176,0.758063500401175,0.7569367514466,0.822686433622714,0.821939597258729,0.840071310780113,0.841798576245772,0.754099836403855,0.466007581527689,0.778155816084666,0.801166340451881,0.834284026514381,0.830776984725075,0.841741185903567,0.792156875133617,0.927465091077174,0.81661730533028,0.563834448655779,0.474509806126014,0.37624699740089,0.385260317863917,0.406290855258804,NA,0.410947717727401,0.39168836321462,0.326288401817132,0.35102125071026,0.315077766263158,0.413540147579169,0.625776625080873,NA,0.66105346118752,0.533096954543628,0.500370968034194,0.447058827788742,0.395578099530445,0.356062433549756,0.681459073197271,0.763418217204131,0.733654789256975,0.564890143055842,0.420547235035043,0.378578438610071,0.479302833478236,0.793814445281216,0.855625592171927,0.758044602123772,0.689106772344396,0.608655485511242,0.515184707420723,0.43772694634127,0.457882355454051,0.766551340329021,0.864313733577843,0.828558257046888,0.554901987314949,0.597488844081727
8,0.934847592344054,0.87977920430867,0.847437456906627,0.783532559831955,0.861537627952038,0.846970565832692,0.8473611377036,0.271806766937431,0.936070490937204,0.772771308296601,0.762723752875729,0.814962132241233,0.801415332866937,0.825915179791305,0.840767099676814,0.823422584682709,0.252435177684792,0.789293098214422,0.785476395120354,0.810171265445064,0.810713424295333,0.830901838265928,0.792228014696208,0.928205537667919,0.819515581691961,0.796949529474017,0.790351844197124,0.79459224883102,0.798331207426904,0.80185023793066,0.637960805892944,0.808145126021356,0.867766541018275,0.646909924247591,0.748542806794562,0.768997220359659,0.384452724683124,0.319394234353398,NA,0.290629826571363,0.294943962297404,0.336154725806796,0.314089407523463,0.295955138972292,0.278213283260362,0.29309761092235,0.27295936769016,0.256124473709464,0.267022207379351,0.300884967620402,0.279144398190764,0.347912871293729,0.385027566263792,0.358010141832959,0.382542059355002,0.412797741742002,0.474943031751852,0.4057559798821,0.441675582799076,0.464649862051052,0.526179148538757,0.463738224723146,0.467931821942346,0.440069646651365,0.48362091600898
9,0.924369752407132,0.871215693950565,0.83743316476965,0.795206983883602,0.85741579532603,0.847860971634988,0.838053749667099,0.852790355682167,0.918627455830391,0.765826344489865,0.776732039451539,0.820915043353883,0.707002818585221,0.784365337930192,0.839697291976476,0.789441943168358,NA,0.352584679018634,0.298743098974379,0.277071908712583,0.294002319085222,0.304024779483201,0.303665825854943,0.413725495342405,0.34117648005527,0.295163410903785,0.288804566668186,0.305939198837973,0.3168426454071,0.374632360414015,NA,0.318039226532301,0.362783552969606,0.326105354463583,0.359103649854852,0.342222231627098,0.336402396793206,0.406846133834822,0.457013577223163,0.529248394071949,0.503167450428376,0.53254904747047,0.484464555979622,0.449437482923999,0.38039216399187,0.625575469887247,0.658823549746039,0.612121235240486,0.61176472902287,0.522757010026263,0.450474386253601,0.685803940295993,0.806250011548148,0.841522500795239,0.823402920076498,0.793796803734199,0.787723797817846,0.665882372855822,0.60341008331454,0.571696530217625,0.759803935885154,0.851246270082615,0.846366791163943,0.662745118141174,0.702745115756842
10,0.91507205797956,0.862702938817757,0.840470597743632,0.830812335014227,0.907672639774249,0.901960790157253,0.878271315778909,0.828306605600452,0.923796921339594,0.796710105549909,0.846388187615693,0.880974715818479,0.876615838872032,0.846968681647762,0.876609236904706,0.800764594438071,NA,0.385406628496115,0.356395900249889,0.330596589154663,0.363010077058075,0.354672328040746,0.345994406939042,0.40938967676295,0.345739074051759,0.327432316541998,0.314884707050762,0.398018138063269,0.410457521677499,0.435115868395259,NA,0.422979020759731,0.420113856754824,0.338487404585122,0.3452870396967,0.316594527526647,0.332970845349112,0.442296922207174,0.433006539941225,0.503177842190077,0.514204208280195,0.497745127976614,0.459129904397128,0.412810462714155,0.355337699254716,0.577158607935673,0.623445996579141,0.618779124777557,0.607130148195645,0.544654115190883,0.48499772091226,0.72324931621596,0.816154900587132,0.824223505185017,0.825063949046109,0.815853556185617,0.807574548132751,0.735294133424564,0.575719674851104,0.626831807589049,0.804308213818555,0.8628093942269,0.847309145521389,0.75563726946723,0.778932981713348
11,0.924217410777744,0.866294801749032,0.839720348090972,0.789629642168681,0.869787062368085,0.859317161820152,0.846287034610484,0.867932831225374,0.92488017876943,0.778274821237919,0.791672898411338,0.825292019690237,0.813579843044281,0.78975841589272,0.838888898491859,0.782622445816112,NA,0.356145393557665,0.318991607427597,0.298224707310264,0.30663385449002,0.313235305249691,0.298211089287146,0.369735457499822,0.352125021255561,0.309100755124257,0.294117659330368,0.319160657493692,0.348873016154655,0.361519616097212,NA,0.328358761138386,0.346646035972394,0.317277980902616,0.350077817837397,0.3235615662864,0.321640991746719,0.491450980901718,0.480350439218765,0.600539498858982,0.586307768094338,0.595133499208703,0.552282837620617,0.525215026579405,0.452324932813644,0.68906615346165,0.714789932966232,0.669323232866103,0.62742012410652,0.479527926134272,0.426343718346427,0.667451000213623,0.795228770375252,0.826158913229242,0.800396575016922,0.77151516513391,0.732897619406382,0.655660994591251,0.56999257961406,0.628891126584199,0.77145099401474,0.839256545528769,0.831548151685231,0.737154364585876,0.73900878489317
12,0.878807420599816,0.81521094387124,0.790029922783903,0.74535270170706,0.822128862142488,0.807736196843074,0.820491090014075,0.78372550308673,0.898443828026297,0.733098055124015,0.73946167833042,0.717273592948869,0.69595163259942,0.716764722764418,0.806487092347753,0.811268316039403,0.488057041710073,0.620380295948462,0.325921579003522,0.292274994663714,0.304883474449112,0.310133476468039,0.260853127429555,0.309803932905255,0.298529423773503,0.274055142765617,0.260355406440928,0.317516350747097,0.427679425593847,0.401857590993305,0.375448611107265,0.422305664483914,0.386477356328232,0.330135170985427,0.34890427659595,0.344891650111953,0.479619727894036,0.542232304813125,NA,0.562875843048911,0.484829733246792,0.438117650748053,0.398599445820662,0.371355506389224,0.361295830944353,0.615333356261804,0.599854780568606,0.55453887913051,0.493908806489389,0.446078434586791,0.405572761046124,0.656100238362565,0.735329357093168,0.550085692151545,0.65045047128558,0.628535200918513,0.571368357827792,0.503865568127087,0.618236688050367,0.67605043947648,0.667852276979723,0.685130737722183,0.732026159763661,0.602794704766216,0.630112066865164
13,0.856225810992406,0.79273546719149,0.768872562795709,0.73811276070766,0.820735976303987,0.817116857639336,0.81785979627995,0.777818640693854,0.878202621638613,0.719567010178954,0.731752561968302,0.767864937583537,0.607787138223837,0.745290288153781,0.811181150376695,0.768968470718507,0.395547698987412,0.726658760598059,0.374525497674969,0.307951533764526,0.31754832516491,0.327682262659177,0.273260086775278,0.294951556058022,0.289899693325767,0.26460367540066,0.247031590694807,0.290140857579936,0.371344207999651,0.389875956944337,0.328660836245227,0.425804428756276,0.364093145355903,0.318725501000955,0.330219156601922,0.325272341570026,0.472379570758412,0.592756465693098,NA,0.609962927328594,0.483228315465627,0.448284316807931,0.405882358550988,0.376176477968628,0.349981510976593,0.616894280538018,0.645983575813266,0.621356673337395,0.514838396697462,0.428262343694464,0.374618743856863,0.602054178714869,0.730184890031844,0.737642989493962,0.653051353572407,0.588927360142036,0.564517025417073,0.502406433563379,0.535422022576061,0.596008427441113,0.755225181579644,0.761066562072829,0.75438597955176,0.563052234879472,0.623842022989037
14,0.925794460136225,0.884803928434348,0.847306510648894,0.804680217057102,0.855014014243674,0.849546886541983,0.839082438679509,0.760294131934249,0.92317023363197,0.772387319004093,0.787945739453212,0.82422848447504,0.822034883188381,0.732086232808522,0.843604117631847,0.816795529127104,NA,0.803635632619197,0.795305176520013,0.817747109702713,0.809580578834285,0.840054729095711,0.809450348869671,0.919266059858026,0.842832676415307,0.805797113024631,0.802160197900476,0.814127713441824,0.811149122063407,0.810240147477567,NA,0.815452858805391,0.864059248820306,0.697022530767738,0.76527150720356,0.787375998924322,0.419892019551472,0.339678658793441,0.323361011370785,0.34516268968623,0.370453016511798,0.374896444905179,0.341803930998162,0.327426170623879,0.320215176428436,0.45351954008237,0.463052674253133,0.414145663381419,0.431173151328541,0.364113095195477,0.353071904183174,NA,0.682294603437663,0.65496325586159,0.623843159677687,0.623678827287445,0.58967003880431,0.496078431606423,0.53308391227177,0.584502741512842,0.796363073491818,0.771408213269339,0.738571444154674,NA,0.596593698010969
