"...1","median.X2016.11","median.X2016.12","median.X2017.01","median.X2017.02","median.X2017.03","median.X2017.05","median.X2017.06","median.X2017.07","median.X2017.08","median.X2017.10","median.X2017.11","median.X2018.02","median.X2018.04","median.X2018.05","median.X2018.06","median.X2018.07","median.X2018.08","median.X2018.09","median.X2018.10","median.X2018.11","median.X2019.02","median.X2019.03","median.X2019.05","median.X2019.06","median.X2019.07","median.X2019.08","median.X2019.09","median.X2019.10","median.X2020.01","median.X2020.02","median.X2020.03","median.X2020.04","median.X2020.05","median.X2020.06","median.X2020.07","median.X2020.08","median.X2020.09","median.X2020.11","median.X2021.01","median.X2021.02","median.X2021.03","median.X2021.04","median.X2021.06","median.X2021.07","median.X2021.08","median.X2021.09","median.X2021.10","median.X2021.11","median.X2021.12","median.X2022.01","median.X2022.02","median.X2022.03","median.X2022.04","median.X2022.05","median.X2022.06","median.X2022.07","median.X2022.08","median.X2022.09","median.X2022.10","median.X2022.11","median.X2022.12","median.X2023.02","median.X2023.03","median.X2023.04","median.X2023.05","median.X2023.06","median.X2023.07","median.X2023.08","median.X2023.09","median.X2023.10","median.X2023.11","median.X2023.12","median.X2024.01","median.X2024.03","median.X2024.04","median.X2024.05","median.X2024.06","median.X2024.07","median.X2024.08","median.X2024.10","median.X2024.11","median.X2024.12","median.X2025.01","median.X2025.02","median.X2025.03"
38,NA,NA,0.258263319730759,0.535409485592772,0.526935012717313,0.787418313323428,0.885582475100486,0.884313732384765,0.84117648005359,0.486409737118174,0.690552603116521,0.573333358764273,0.540849700569703,0.782202124595459,0.348257089654877,0.383289178481295,0.410893251502509,0.472203003137667,0.517993108314915,NA,0.415826335550118,0.381314885968652,0.527145997683922,0.701730121588702,0.637009806932414,0.518137253824803,0.582135101160406,NA,NA,0.559761322063337,0.524183034898041,0.53769065936454,0.723529398444664,0.767935423291184,0.746712817865837,0.607843160630523,0.670037859366283,0.716078448298205,NA,0.612745121121846,0.588235318660896,0.611764729022612,0.854466239611484,0.847058832646309,NA,0.868476629257604,0.730283240476698,0.796078443528464,NA,0.778253132649982,0.813574671744238,0.723747293152811,0.683660149573769,0.849773764610153,0.844343900680387,0.869498888651282,0.803548097611585,0.831372559071927,0.851379204604585,0.823039226235355,0.976470589637703,0.790447473525635,NA,0.690196096895637,0.709368209044015,0.893557429313475,0.865795214970807,0.818860888480976,0.870988403047754,0.855555564165115,NA,0.996434937823969,0.773933116126763,NA,0.731628319491123,0.783333346247338,0.826862755417668,0.843392325610442,0.845365402373299,0.811503279209137,0.845680984291112,0.660061939766321,0.905882358553705,0.767182676414754,0.684313744305671
40,0.63712420463562,0.702205900102854,0.64283561706543,0.638274531364441,0.627581721544266,0.873202621936798,0.88519608527422,0.877005354924635,0.856049745548062,0.472303923219442,0.724369750136421,0.604341760277748,0.608535202110515,0.839956436554591,0.863056341807047,0.805591877963808,0.829691886901855,0.839697291976527,0.818062993613156,0.693939412182028,0.666240429100783,0.618137277662754,0.804515757343986,0.841241839528084,0.853635610391696,0.828601308663686,0.856666675209999,NA,0.462229104418504,0.389839578758587,0.324731193242535,0.275236033731037,0.304643974492424,0.398039221763611,0.39909502863884,0.362594276666641,0.438511818647385,0.507893443107605,0.509411785751581,0.412549024820328,0.403352314426053,0.414705887436867,0.669887974858284,0.700063268984518,0.615944295337326,0.713725507259369,0.664705902338028,0.589169025421143,0.627451002597809,0.597058847546577,0.569803947210312,0.516078460216522,0.545098066329956,0.803565074097026,0.807002812623978,0.790118673914357,0.755709357121412,0.749942344777724,0.723137271404266,0.731825053691864,0.742067751559344,0.628143044079051,0.300840348005295,0.590274534225464,NA,0.88496732711792,0.892272209419924,0.823227763175964,0.868253976106644,0.867389068791741,0.689760367075602,0.777532692998648,0.756661653518677,0.637433176690882,0.751525069276492,0.734610138937484,0.840235303640366,0.861525062719981,0.877144599333405,0.822683593806098,0.804248377680779,0.629534335806966,0.750802153890783,0.702317308295857,0.67507004737854
41,0.66211766719218,0.70980393886488,0.14509804546833,0.629607865213254,0.653159062068164,0.826674846932332,0.876705889701196,0.695331484079078,0.699159681800153,0.568487420677618,0.911211669444397,0.745424851771783,0.691964647348979,0.84610814939803,0.886299654841357,0.782913178205628,0.491862745583006,0.530180727734477,0.805809742873777,0.815686285493972,0.76004058224577,0.796997561117299,0.889369087558879,0.881202053116433,0.781792730092864,0.385901966319423,0.518954277038376,0.78065360784336,0.914644612928517,0.903921574351269,0.900784319637018,0.879277208271168,0.906954646110217,0.337254911661148,0.733450661102998,0.52084036469513,0.386928111329509,0.863983496231908,0.042549020798077,0.757161139792786,0.822745108595679,0.851997103954737,0.916557739178194,0.770485049800457,0.733333349228798,0.817457316382814,0.8798406934329,0.894629162282668,0.972378518267963,0.865882360933752,0.822497430599192,0.811388676296061,0.863888897000311,0.909167996934745,0.830156872868672,0.718082778984444,0.562895953662055,0.625980414447824,0.893265138501299,0.93011564016254,0.995363010345156,0.713956187751734,0.618382375688407,0.802614390850353,0.909852946549403,0.892513375390422,0.758660145104609,0.625536903739321,0.50206973196698,0.862643686347536,0.894965560045823,0.837254911659808,0.631818928369545,NA,0.89817444825848,0.905429869889625,0.909633423971091,0.825070038438242,0.664522895813465,0.746031761168048,0.843034065082549,0.824139444030526,0.81095335812318,0.63458112695133,0.700573170184668
42,0.828918118617086,0.926276504842117,0.782635349699237,0.882718893156062,0.857881326014441,0.872609173959003,0.900774741095684,0.889322313769099,0.877801490571205,0.527002074802793,0.947149413565207,0.884837902418451,0.850634134893711,0.813018887693248,0.883339452009128,0.856953087860977,0.824827596647989,0.875287354341008,0.886345136520469,0.918254571656364,0.905931675759767,0.881299806146655,0.866283141593965,0.86186357719056,0.86510289489004,0.795088640336943,0.885087152818827,0.797292533742132,0.947512518773053,0.898651186258151,0.867749277803485,0.863970725410159,0.865098023414597,0.495699185279861,0.811689508941068,0.849730401113593,0.8678713655156,0.918966777167621,0.932094433859151,0.789828572223299,0.820812484606125,0.853516106528244,0.882415960157269,0.878034816699071,0.845323210270185,0.905312098868896,0.923513589365062,0.908626550752561,0.963572562114406,0.957618336483935,0.933590711398418,0.859181594071155,0.859069767420943,0.876430093372991,0.860776331867742,0.880299825946989,0.878107508972498,0.867732095494142,0.900436365449326,0.936396168096157,0.961454409302954,0.935574798273906,0.813976698537016,0.883882047801166,0.841254345131258,0.883889349694881,0.895937871020443,0.86965067795483,0.891994969560419,0.89700530950097,0.937786185919355,0.956246501207327,0.942776820019757,NA,0.586464759796382,0.537555887116797,0.544046304691831,0.568204438030557,0.619894248396765,0.526167731096195,0.543922263881595,0.434122532606386,0.502206512337321,0.417424878554181,0.424985488414526
43,0.712044835091293,0.769747912883963,0.378823536634445,0.66368629455695,0.745932430663558,0.898595660522241,0.885763007661598,0.796787427643709,0.597965525953554,0.636432659241202,0.94743333438815,0.775581712722981,0.700342377026975,0.865023350715702,0.899592470421495,0.797846440788692,0.535734941793133,0.509508778972875,0.801278152730826,0.860560232401219,0.753544509411287,0.814260260625847,0.898361984594457,0.881085979938524,0.788600757557942,0.432058822363961,0.504374073102158,0.839542493224256,0.938137258589413,0.900784319639407,0.906624276895775,0.89861438512809,0.914076675229973,0.380392163992158,0.742600737223017,0.617587663910822,0.418884721842408,0.898213513692796,0.0678826603433419,0.76530921459198,0.818984800967107,0.873862212951061,0.917224740982024,0.820343147963338,0.82277040904576,0.768156876564365,0.906567681183143,0.8975009672782,0.934795617047336,0.883393364293453,0.844831381797919,0.850846711207626,0.884851132498919,0.910771586678222,0.850823538303375,0.774605437022954,0.652226802914739,0.627931194646191,0.920949437116428,0.930216193199158,0.960348586241586,0.802054166794008,0.684772651247052,0.85568628311191,0.915209332027921,0.906714206392098,0.816422518642548,0.724346421659063,0.500564981315224,0.830023739368412,0.922922842794288,0.923571135135597,0.653838505179258,NA,0.914176250326184,0.910971060395204,0.906855989324599,0.83866014033556,0.699943995475922,0.767407421271148,0.870053483681321,0.653144036901568,0.799074086050277,0.633333355187993,0.633785843849135
44,NA,0.656812489032821,0.373608910554282,0.579874238878003,0.549640873281152,0.854117655754048,0.915662072322975,0.896732032299059,0.862929650615241,0.414415912309214,0.605822929830308,0.512925199099951,0.521938079077325,0.83840913214587,0.907692313194266,0.89343170246274,0.827815787736759,0.853618547049446,0.765088894564676,0.477630193194659,0.51950983256104,0.485180119442428,0.749131667614039,0.895763066681947,0.91081811025224,0.89458820819855,0.892223336433977,0.816768097466416,0.604896042563774,0.549232433008593,0.512033862226188,0.549271899357238,0.879114672993197,0.890552591193722,0.864834768251649,0.867722481489162,0.830897217447107,0.585475696457757,0.418166094842894,0.411896528566635,0.309803932905198,0.28561635721818,0.30177625172286,0.545572102070115,0.541770674965736,0.59324621160853,0.495655517367649,0.549686568124052,0.479159665107837,0.426928108930549,0.410906868055563,0.396078437566894,0.446314225091387,0.650530396915007,0.635098060965629,0.603777018285621,0.566377894823033,0.580048184645939,0.594331222005509,0.647875837981843,0.648030560628634,0.517800874569982,NA,0.539346432685969,0.743446867717147,0.813352790253282,0.835468419393005,0.822676907415114,0.8493137344719,0.840165450703411,0.808608332785388,0.834077088997448,0.745116465528298,0.754110781769961,0.765108108521001,0.66618649448679,0.708181220909896,0.799156130114891,0.803725472092765,0.736918783188011,0.74317292083407,0.619568254008341,0.676414585113538,0.594480779435805,0.554305226906328
45,0.809803932905313,0.934313729405298,0.752380967140331,0.884135479276881,0.856209158897339,0.866911772638533,0.890382826328331,0.881176477670716,0.86916221813723,0.564194399377643,0.950896928919098,0.876688460508975,0.844117656350099,0.808251645416034,0.879965906557854,0.839433560768834,0.833613455295631,0.866058679514152,0.881877606565263,0.915353316181155,0.901659131050113,0.880035657774287,0.859924328954612,0.854341745376629,0.758656638734103,0.797107847407425,0.883660137653312,0.866264462471063,0.966240411219241,0.89745824866819,0.868074417114198,0.867241837978335,0.862641905483463,0.468549021482253,0.817112310366174,0.845751643180899,0.867806275685596,0.918795805988847,0.913725495338353,0.797596470002138,0.824546125200079,0.859229217315582,0.88190476894384,0.87380953133112,0.840697177251221,0.905882358551023,0.929411768913233,0.932026147842341,0.963970590382684,0.963279859586158,0.936519611626776,0.857202622890496,0.865098047256472,0.875817000865924,0.863267982006106,0.882861291920664,0.880572945513584,0.87141383635363,0.902704535887185,0.846797394753389,0.975757577202368,0.939869284629868,0.833725500106823,0.895702968252429,0.846439637635902,0.882135083278012,0.893137261271419,0.867374735573905,0.881199545720041,0.895655523328188,0.957422971725358,0.967465506659545,0.951562688567396,NA,0.633094235164426,0.588536977767737,0.539495825768251,0.601634010673906,0.657352931797906,0.503030332652146,0.530980420113168,0.514742222097272,0.509111909305485,0.486274510622123,0.402852055701448
46,0.885768040959537,0.925580445817208,0.675601393906001,0.757843151687946,0.851124879874575,0.930376842385097,0.933012481711033,0.922519821055306,0.884695833921402,0.561238826307963,0.804486867445045,0.866858282190083,0.853859278170858,0.840692161656089,0.873142841930766,0.713986945152793,0.827340002892102,0.876268154751914,0.90002171205851,0.246473514989178,0.885067086313742,0.852450989186672,0.839354949718422,0.866811153449439,0.864623398981305,0.869824160629415,0.891131913797375,NA,0.925869707138092,0.894215692579635,0.820281944623735,0.830831197776939,0.830113008411296,0.759427996057776,0.863053405622237,0.79901337528685,0.850357929865477,0.911239824294975,0.904692669262911,0.817463919520278,0.783921581506542,0.804986697655916,0.905069665100944,0.883144626315148,0.41188354654769,0.914396754793158,0.899719893932216,0.90273109823454,0.956999018385509,0.958203671055369,0.927542896475556,0.849416442215347,0.820571814835341,0.873236764945186,0.844883167988624,0.887095387965904,0.870529237927648,0.880876933516576,0.893905676699892,0.902196276494642,0.944795324927749,0.908763510840128,NA,0.853131661414979,0.707285297756509,0.89598431992526,0.869138079695393,0.841262479361732,0.894680471056014,0.891142241160045,NA,0.965811228489071,0.931184016167896,NA,0.856606999169128,0.861712265161713,0.895261444151314,0.888757236141066,0.880655091033841,0.5401727631689,0.51606923299683,0.448419841597732,NA,0.457142859697694,0.38685548967824
49,0.882352948188599,0.918279574763382,0.694017112254845,0.841094780713204,0.808049547044721,0.857333341836733,0.858433816743791,0.864145666360688,0.835748802060621,0.507526911074166,0.923921549320093,0.801659137010403,0.686227843165039,0.720623445510764,0.789258324580746,0.764845952391186,0.744272461062781,0.810167041089582,0.821679625870979,0.303361356260479,0.801892510100888,0.749382730987218,0.748829486153223,0.791730617699237,0.78271449288575,0.790147061646202,0.815000011026859,NA,0.852107851952221,0.814126570793662,0.72435352594953,0.714401639741043,0.787272114502756,0.778970601409121,0.792888901233673,0.747031221927159,0.547982898252051,0.511315388605287,0.0970655865197879,0.468946650277866,0.457494186648216,0.490718954801559,0.64081529488689,0.66607144847523,0.611619485749767,0.682872686042311,0.651017761230715,0.496338294572164,0.639262955591678,0.608912679282805,0.573983765230077,0.546899868024483,0.5880952626465,0.808759403005939,0.756862759590729,0.739893044125242,0.699346423149397,0.697326221250741,0.691817011833364,0.702317308296344,0.725799809945545,0.584089660645042,0.510140085220605,0.615406185388565,NA,0.86050420999527,0.837721765041425,0.825752343404782,0.838729551015807,0.816078442335129,NA,0.734832772437422,0.618718098191924,0.571308890978656,0.749387269839494,0.797442467315935,0.88113590972173,0.876092198647951,0.867647051811218,0.786867785453807,0.793046642752373,0.721449808641056,0.890196084976196,0.671847029968831,0.663581719398775
50,0.861116147041472,0.899530522420549,0.662091523409001,0.770655862216292,0.820409992879179,0.878057897091337,0.891379954680024,0.88275123247882,0.842897168227664,0.486564997169888,0.914705872535971,0.821116149425678,0.667845299986542,0.714921446556931,0.803921580314753,0.764456907908263,0.763046771287982,0.823107099533164,0.810814033855206,0.324836611747742,0.79240197315854,0.74264707416349,0.735143303871346,0.81856210231787,0.815032660961221,0.82044817436341,0.835196088254619,NA,0.85049020498991,0.821465438918205,0.732885169983191,0.713442871699547,0.80733627932425,0.786584120047646,0.836705892086028,0.770889908075292,0.670509031324865,0.578847321597391,0.119372549355298,0.555957794189694,0.541456609964622,0.542483687401099,0.780392169952681,0.828177207046085,0.785166253214297,0.799564282099461,0.680112063884735,0.372549027204514,0.685121126034891,0.640032701195784,0.662657972177058,0.58576618300577,0.587602807630588,0.854810770167944,0.856149741194303,0.873133818308512,0.822991167797762,0.790017837827935,0.675420187413844,0.683496750893348,0.696732044221112,0.661784734045449,NA,0.62891197905947,NA,0.905490201711655,0.904524892568514,0.880392163991775,0.883313332285219,0.825562828117087,NA,0.682115289300948,0.603376929960088,0.681406374635506,0.627863799271712,0.694402870265261,0.873941468155902,0.907091508805734,0.899887933049862,0.715260034022409,0.710550904274837,0.690065377950951,NA,0.769842598640058,0.650057690986507
