comm_code,debut_suivi,fin_suivi,surface_comm,taux_boisement,suivi_y,F_area,F_area_fe,F_area_co,F_area_au,CR_area,CR_area_fe,CR_area_co,CR_area_au,CR_pc,CR_pc_fe,CR_pc_co,CR_pc_au,CR_pc_py,CR_pc_py_fe,CR_pc_py_co,CR_pc_py_au,CR_area_py,cycle_y,time_left
19075,novembre 2017,mars 2025,2388.85,0.605018215283521,7.33424657534247,1445.29776358004,710.46633557483,179.011534219041,555.819893786169,58.794175385914,19.6302882071793,27.8374490784585,11.3264381002761,4.06796280098568,2.76301454752204,15.5506454932654,2.03778925995649,0.554653127515791,0.376727795982646,2.12027852261557,0.277845752664968,8.01638924761248,180.292862401921,172.958615826579
19136,février 2018,décembre 2024,8728.96,0.635136423546224,6.83561643835616,5544.08043567805,531.812855385569,3029.3820726698,1982.88550762268,357.279547338632,43.8386690951295,244.984161592364,68.4567166511387,6.44434278116558,8.2432511082016,8.08693508166365,3.45237868691737,0.942759565180536,1.20592651482709,1.1830586392013,0.505057403096128,52.2673486086575,106.071583565265,99.2359671269087
19164,février 2018,mars 2025,6671.4,0.422327072721024,7.08219178082192,2817.51283295104,806.688231050946,1190.08774475193,820.73685714817,208.113183492902,15.099331655208,155.271952021351,37.7418998163432,7.38641475059142,1.87176793636083,13.0471011659495,4.59853843380273,1.04295604795585,0.264292184437797,1.84224059016308,0.649310068989553,29.385420493195,95.8813175262716,88.7991257454497
19261,février 2018,décembre 2024,5945.5,0.636553469166708,6.83561643835616,3784.62865093066,913.650757172371,1781.70566690671,1089.27222685159,196.451065118658,31.8032487853706,134.140077960608,30.5077383726791,5.1907619805803,3.48089776489624,7.52874509253228,2.80074508654812,0.759369989143009,0.509229532740331,1.10139958267506,0.409728239114254,28.7393341756754,131.688111763352,124.852495324996
19265,février 2018,décembre 2024,6872.02,0.590836721079724,6.83561643835616,4060.24176399428,1537.89035122756,1391.0441498225,1131.30726294422,247.297665619538,17.9677597009987,186.982172263682,42.3477336548574,6.09071281943215,1.16833815145902,13.4418574915498,3.74325658836908,0.891026123884864,0.170919208530077,1.96644408193014,0.547610683268423,36.1778148100727,112.230155008252,105.394538569896
23077,février 2018,mars 2025,4839.11,0.644493672844045,7.08219178082192,3118.77577719635,960.908498023237,825.140705219526,1332.72657395358,122.582846324684,9.20929934509695,79.6761231659696,33.6974238136172,3.93047962027205,0.958395035952138,9.65606503981305,2.52845740995863,0.554980681392379,0.135324637571578,1.36342891277825,0.357016230032844,17.3086030593847,180.186452164627,173.104260383805
23090,février 2018,mars 2025,7978.31,0.605952846277596,7.08219178082192,4834.47965298501,815.152388201209,2063.842996537,1955.4842682468,286.414623365976,8.91811053396612,232.651269940787,44.845242891223,5.9244147028136,1.09404212795667,11.272721342232,2.29330624743042,0.836522772350857,0.154477902013224,1.59169953188189,0.323813067818996,40.4415232218883,119.542471891079,112.460280110257
23165,février 2018,mars 2025,8068.8,0.70045915909138,7.08219178082192,5651.86486287653,1672.40442902109,2234.82722533544,1744.63320852,174.38573670247,17.9128436144196,119.158177095082,37.3147159929678,3.08545481771685,1.07108324419498,5.33187423816163,2.13882871257634,0.435663833062534,0.151236125389233,0.752856517187232,0.302000959416002,24.6231311011224,229.534775234937,222.452583454115
23249,décembre 2017,mars 2025,2392.46,0.423226277146594,7.25205479452055,1012.55193902214,642.995762167297,226.426641404343,143.1295354505,39.2017962966599,14.5065480594806,17.8413405945629,6.85390764261633,3.87158374656006,2.25608766231748,7.87952357722013,4.78860468668726,0.533860244614439,0.31109633424476,1.08652289598993,0.660310053132169,5.40561225851184,187.314940583788,180.062885789267
23257,décembre 2017,mars 2025,4817.63,0.423892229071235,7.25205479452055,2042.15591954045,1481.65412376174,139.020587350168,421.481208428539,83.7127205042161,36.981184532208,18.5252491595834,28.2062868124247,4.09923256609388,2.49593909530769,13.3255437289455,6.69218134720399,0.565251184973278,0.34416991680669,1.83748525163018,0.922797956830168,11.5433105342043,176.912499537223,169.660444742703
23264,février 2018,mars 2025,570.04,0.631542462149712,7.08219178082192,360.004465123822,64.3244282668528,135.955797082863,159.724239774106,4.81048379176483,0.274189210344851,3.22538016342074,1.31091441799924,1.33622892430245,0.426259848291794,2.37237413381859,0.820736050992156,0.188674490278682,0.0601875607839478,0.334977392202625,0.115887295401213,0.679236589552867,530.013357143802,522.93116536298
63263,mars 2018,mars 2025,4281.59,0.605626235925844,7.00547945205479,2593.04323547773,1581.16031745409,620.723243070303,391.159674953342,45.7102942922391,34.3001730020903,9.01797224137709,2.39214904877171,1.76280494157737,2.16930393606885,1.45281691028214,0.611553082269293,0.251632304918161,0.309658168425941,0.207382937916692,0.0872963922676152,6.52493446095709,397.405253798884,390.399774346829
87004,novembre 2017,mars 2025,1783.71,0.552792237080331,7.33424657534247,986.021041202557,677.70502415008,171.201557926783,137.114459125694,22.0470685620949,9.69083294885233,9.83085695533827,2.52537865790427,2.23596329498264,1.42994851794197,5.74227073304004,1.84180331819654,0.304866119786576,0.194968699682039,0.782939416346513,0.251123724744765,3.00604408859344,328.012834190974,320.678587615632
87009,novembre 2017,mars 2025,2748.67,0.634904109220946,7.33424657534247,1745.14187789234,690.129666582984,672.217113627487,382.795097681866,38.1099760194518,11.8324697462991,22.9228800612949,3.3546262118578,2.18377522780431,1.71452848924533,3.41004113055023,0.876350358761847,0.2977504513069,0.233770227334534,0.464947707377973,0.119487441519639,5.19616781737015,335.851715962395,328.517469387052
