"...1","median.X2016.12","median.X2017.02","median.X2017.03","median.X2017.05","median.X2017.06","median.X2017.07","median.X2017.08","median.X2017.10","median.X2017.11","median.X2018.02","median.X2018.04","median.X2018.05","median.X2018.06","median.X2018.07","median.X2018.08","median.X2018.09","median.X2018.10","median.X2018.11","median.X2019.01","median.X2019.02","median.X2019.03","median.X2019.05","median.X2019.06","median.X2019.07","median.X2019.08","median.X2019.09","median.X2019.10","median.X2020.01","median.X2020.02","median.X2020.03","median.X2020.04","median.X2020.05","median.X2020.06","median.X2020.07","median.X2020.08","median.X2020.09","median.X2020.11","median.X2021.02","median.X2021.03","median.X2021.04","median.X2021.06","median.X2021.07","median.X2021.08","median.X2021.09","median.X2021.10","median.X2021.12","median.X2022.01","median.X2022.02","median.X2022.03","median.X2022.04","median.X2022.05","median.X2022.06","median.X2022.07","median.X2022.08","median.X2022.09","median.X2022.10","median.X2022.11","median.X2022.12","median.X2023.02","median.X2023.03","median.X2023.05","median.X2023.06","median.X2023.07","median.X2023.08","median.X2023.09","median.X2023.10","median.X2023.12","median.X2024.01","median.X2024.03","median.X2024.04","median.X2024.05","median.X2024.06","median.X2024.07","median.X2024.08","median.X2024.10","median.X2024.11","median.X2024.12","median.X2025.02","median.X2025.03"
148,0.360784322023632,0.387411771416622,0.396498605608832,0.671510976903274,0.668360091068534,0.630228780209707,0.55448720604198,0.742047945657881,0.808823540806428,0.73194926626455,0.693585106620011,0.748202629387225,0.551307216286815,0.494814815123623,0.354305209025021,0.54601309895464,0.509803950786484,0.498774512671331,0.167401965708298,0.356299028172868,0.297464515114539,0.45162068094526,0.849346414207891,0.835387496720979,0.663958907126607,0.494343921540909,0.62892159074513,0.75772060267615,0.711596655846008,0.736291725384553,0.731392989866374,0.874115188166698,0.83263042063083,0.79272332390144,0.469875224611681,0.715397940838522,0.792179030886761,0.581302545964153,0.635477962903548,0.679385286730656,0.866237753070809,0.851695822299983,0.804092083288134,0.846666675805815,0.622593605382724,0.717243384788764,0.668496751784406,0.47107292527548,0.462161036882355,0.633426725865183,0.825910374522452,0.547490582827086,0.637683833018706,0.514370399316246,0.76573297381393,0.818518529335671,0.840660484213505,0.811229957775907,0.523060556986863,0.459694991508759,0.859596804833894,0.866386562585835,0.820697178443088,0.695625960827007,0.812664749192551,0.662745118142002,0.680627470016031,0.376024962826103,0.589775934815429,0.74117648601456,0.798395733941797,0.864454507828124,0.676176489889495,0.757749781012377,0.838997830947705,0.891164943049877,0.79958640900436,0.209859946370473,0.112044818698637
149,0.726182253921733,0.599174430495814,0.684359343939049,0.898567125201225,0.613137277960777,0.698706734687724,0.80882354080677,0.823669478297234,0.762309382359187,0.611503291130066,0.658688323251132,0.832679748535156,0.681288968685061,0.708745737870534,0.562566870992834,0.593202638626099,0.648627471923828,0.692335134202784,0.18823529779911,0.555294144153595,0.449948403396105,0.32257416844368,0.719429606741125,0.837254881858826,0.671413842000459,0.768225252628326,0.743637077948626,0.786274522542953,0.737690647443136,0.625490218400955,0.69027612890516,0.592903852462769,0.927554183884671,0.652287602424622,0.544649887084961,0.729411780834198,0.71960785984993,0.601960808038712,0.631070911884308,0.577124208211899,0.429411768913269,0.801680684089661,0.443137258291245,0.881481488545736,0.736185398968783,0.650823550224304,0.494117673101096,0.443137258291245,0.562352967262268,0.660653614997864,0.879389985402425,0.590080762610716,0.645276313478297,0.494404621240569,0.67787116765976,0.782868949990523,0.809523820877075,0.761977848799332,0.613818883895874,0.549695767205337,0.882564924858712,0.844313734769821,0.793824668588309,0.808299145033193,0.82114238065222,0.779411777853966,0.638962703366433,0.302450992166996,0.367488938954569,0.512380981445313,0.233473390340805,0.225942686200142,0.455132643966114,0.864052295684814,0.790353855182385,0.660784333944321,0.254545469175686,0.279775923490524,-0.0652406445958398
151,0.380653601884894,0.393891409039492,0.350000008940602,0.587967938997506,0.626797407864974,0.639215707778654,0.54901963472359,0.743647611304465,0.79869282245639,0.731026544290398,0.693520092964087,0.740863897230213,0.535294145345509,0.478829214106265,0.435173457860517,0.46666666865313,0.45067079757378,0.484531591335888,0.0867485478520468,0.341078440845125,0.271988809108659,0.373647066354786,0.8046805935519,0.786483116605759,0.63900562375757,0.449159666895597,0.598106852892863,0.734038350287611,0.700998907944395,0.709568409232489,0.710439868875839,0.858709869177789,0.836878599542521,0.790171883724264,0.440041283243258,0.650098060071322,0.743991971015869,0.563364319111306,0.594958007335813,0.627315776101609,0.850560232996963,0.844214618205945,0.788235306739666,0.827771118708507,0.625172253395408,0.709477141498172,0.655088722705045,0.470640063942161,0.435076256593636,0.582805454731284,0.780794382095543,0.551708710193578,0.623249326433359,0.46303699693629,0.753949594497835,0.831722699105822,0.850775797470819,0.804156874418302,0.512333994911382,0.462975780753736,0.859364443811942,0.873257088164481,0.849244994336098,0.705173653292231,0.810800397005147,0.67108736363309,0.658414342610633,0.396732032298571,0.621568650007114,0.726120464503735,0.800097240889262,0.835953214589289,0.696844490625424,0.722640539407644,0.841873647769156,0.894876666607344,0.817366957663877,0.412177507815314,0.127647064439729
153,0.611111134291897,0.523583906392379,0.507466092705896,0.852422154124303,0.928888893127335,0.909488800913045,0.87997624007135,0.679084986448956,0.625098061561825,0.475401070985205,0.467516341805311,0.788562104105215,0.897801550951712,0.881263623634937,0.642973877489934,0.849596318076482,0.762071092612703,0.582493022084436,NA,0.504734606277535,0.462801122665302,0.689048320781777,0.876879092305782,0.889318905378527,0.797771835191713,0.880832340035875,0.797549031674495,0.572408989071913,0.528799047693735,0.454514648075003,0.445132442210695,0.881587764111883,0.897516345977676,0.891596645116749,0.852573538198892,0.836819181839403,0.555052816868136,0.464651418228822,0.465154063701481,0.47952941298472,0.905098044872124,0.889522065408533,NA,0.899816182441922,0.810294128954043,0.584756507988809,0.558333359658596,0.541307216882465,0.462044820189218,0.482352948437134,0.907142862677431,0.889923753837674,0.908650524475838,0.880336141586105,0.873098046779504,0.858039224147583,0.83030304041703,0.622271572644022,0.528900283834104,0.490718954801275,0.850544671216977,0.897704453729933,0.911297857761441,0.876568634808003,0.878431379795002,0.853676479309647,0.607135099669311,0.464068659394976,0.517698687158038,0.375519912351456,0.371164944242054,0.493930906057739,0.59698343276996,0.676095138205109,0.680241346359499,0.6512656179343,0.579302857320004,0.249019611627123,0.0845315928262088
156,0.635054043361323,0.553381379161624,0.516350701328346,0.844205018022361,0.927634506390009,0.907575763084654,0.888273836422497,0.687572313727207,0.644615845232873,0.53005799627081,0.499676601481348,0.819955546227857,0.89803922176359,0.807565866095308,0.88233085484559,0.856721934556581,0.796362615149907,0.600474996411399,0.478491821902401,0.551643417893609,0.508165827280385,0.748041494889463,0.88565835238553,0.897245661806287,0.82379362018482,0.890550037424317,0.804185385691628,0.66079885827186,0.598674804177932,0.498039218259382,0.510561335240422,0.891946296811577,0.886269704842109,0.882898394152402,0.847979728653402,0.845662262704602,0.592205481458336,0.50742597846274,0.496574044227625,0.496682883877576,0.901544773541455,0.889759690932386,0.767405992648818,0.883449097426511,0.812246935276968,0.664224187189355,0.618531134604096,0.591976585059374,0.499741251954653,0.498039231946071,0.905042879078352,0.88341556672125,0.899939286141125,0.896187370022116,0.870396521886169,0.824591513723042,0.751815065137274,0.655982173845551,0.595296585114188,0.525166599785113,0.850377082824713,0.893491753329642,0.899419380337062,0.865014781078203,0.866978322433257,0.842696918648053,0.648742034596055,0.59852204580387,0.480408362859548,0.367633994817851,0.356627459526325,0.368623219277608,0.403568149054613,0.466180272574511,0.537882380485817,0.56693227421708,0.523597053413266,0.154916072814211,0.0358226001549821
158,0.702941194176658,0.638146189126381,0.548496758938759,0.592016831041866,0.798972934486863,0.746241845191487,0.785947725177538,0.768319890779786,0.749019622804399,0.667058843373537,0.595445944417098,0.665841093189029,0.824802212025173,0.81926183314907,0.732949717537501,0.737037052712133,0.769825721781148,0.718518535296396,0.51593138556908,0.616624063772273,0.590828613888738,0.702336842883254,0.812066376209851,0.816713362933194,0.783785163060592,0.741993479431765,0.696501363726736,0.754621863366543,0.673611130565794,0.591167662595142,0.605519268248035,0.778104588390221,0.477050539893155,0.808496743440721,0.66761327201018,0.77591037750442,0.684665679930425,0.564052313566661,0.593520910843687,0.570196104049888,0.80936820308394,0.856751765845077,0.811507565076681,0.748510328206469,0.75197799896012,0.717016823589954,0.75716441869724,0.686274528504876,0.576657354832648,0.58092008531112,0.761816319668516,0.812594279647258,0.709502249957165,0.720473431253392,0.678947387558374,0.748611126095281,0.825605546727805,0.768347352743846,0.668811294250599,0.545839984675003,0.740756317973851,0.838539563377222,0.851461997157838,0.807475501672155,0.776000013352918,0.770072253127576,0.795064244801294,0.752450995147201,NA,0.676505621522513,0.707913182675967,0.825857853517369,0.866027604209107,0.846595869710155,0.78295813445724,0.796960796416046,0.787599376730615,0.241784990349098,0.184407100081595
160,0.866611750686709,0.808141598675837,0.769480533220176,0.820505087729529,0.863905570337011,0.847613885402842,0.849822061059865,0.838606294363629,0.898025605206524,0.784077585504354,0.75205868770962,0.772203953428597,0.755140279656302,0.412684053183101,0.369311883484209,0.352063364575499,0.33357137473353,0.315151526171007,0.0855387961835411,0.286281575724029,0.263016787100039,0.304078282331111,0.356953600775073,0.365479665229369,0.395860087720519,0.376177249934478,0.522875845439088,0.39650942181643,0.359032065669996,0.322258409649036,0.303489019437566,0.425169569144489,0.476423151312631,0.488266751251986,0.461166908102912,0.43820253405394,0.402089980227471,0.333269436227169,0.322153009731338,0.303755098637744,0.467615435201834,0.610738446233219,0.42703575982927,0.583406720844381,0.501991547295048,0.435294121505507,0.400730732991375,0.361087461666581,0.318021956467283,0.326637911002627,0.516899042736844,0.610394408249921,0.634400075048267,0.584241794884816,0.577485771256125,0.500297385964838,0.480472659436052,0.515392185749723,0.364247086233264,0.323674803621017,0.547687640905416,0.715502165098692,0.757015053508867,0.718028665392597,0.692657874413855,0.617042665126477,0.528086731560962,0.341590223510446,0.401908502579018,0.438478779793218,0.524099969346481,0.730828532422119,0.801356257061186,0.762977955304699,0.545982729908082,0.537368928624937,0.503531512608191,0.243621323910047,0.0552854262043391
162,0.898242061508362,0.859612707936704,0.548950835277597,0.293723061680962,0.284594841921488,0.293141081987437,0.326286168382132,0.350466658455341,0.338860232057045,0.312446323037682,0.30465877437333,0.281846019698462,0.330550614180877,0.396589131659193,0.402257878672163,0.392087152401863,0.360447150138037,0.3581193125171,0.143475327513971,0.318665412453234,0.301608137089963,0.425812227121504,0.625620937347514,0.647598325873079,0.585625735604504,0.568525850681892,0.520368175847119,0.590153477114478,0.541556004555115,0.510359506309364,0.501019637585079,0.71506286263435,0.771551441204832,0.711177595590782,0.64791412862395,0.641662350005796,0.654191053750051,0.588758829004305,0.573393541249493,0.564097256229277,0.75110730535039,0.754083454887086,0.476388890296325,0.814008988170211,0.767489075598982,0.790335282407059,0.7525520279203,0.707782511858039,0.592872999543531,0.573510461853588,0.745457071233784,0.820884643598934,0.836605613186589,0.795840244557904,0.786679643244404,0.753649252156007,0.796588474098232,0.817528234286981,0.731816246126918,0.635748024616609,NA,0.834025384748853,0.886377875749296,0.841925143111782,0.852951841671715,0.832101228873412,0.831294351153807,0.766537139276296,NA,0.690475564989771,0.711402303235329,0.775394971370835,0.822831560178336,0.842052129407481,0.767590728299553,0.79442377331915,0.779370584908802,0.629677744225773,0.443137258291674
