"...1","median.X2016.11","median.X2016.12","median.X2017.02","median.X2017.03","median.X2017.05","median.X2017.06","median.X2017.07","median.X2017.08","median.X2017.10","median.X2017.11","median.X2018.02","median.X2018.04","median.X2018.05","median.X2018.06","median.X2018.07","median.X2018.08","median.X2018.09","median.X2018.10","median.X2018.11","median.X2019.02","median.X2019.03","median.X2019.05","median.X2019.06","median.X2019.07","median.X2019.08","median.X2019.09","median.X2020.01","median.X2020.02","median.X2020.03","median.X2020.04","median.X2020.05","median.X2020.06","median.X2020.07","median.X2020.08","median.X2020.09","median.X2020.11","median.X2021.01","median.X2021.02","median.X2021.03","median.X2021.04","median.X2021.06","median.X2021.07","median.X2021.08","median.X2021.09","median.X2021.10","median.X2021.11","median.X2021.12","median.X2022.01","median.X2022.02","median.X2022.03","median.X2022.04","median.X2022.05","median.X2022.06","median.X2022.07","median.X2022.08","median.X2022.09","median.X2022.10","median.X2022.11","median.X2022.12","median.X2023.02","median.X2023.03","median.X2023.04","median.X2023.06","median.X2023.07","median.X2023.08","median.X2023.09","median.X2023.10","median.X2023.12","median.X2024.01","median.X2024.03","median.X2024.04","median.X2024.05","median.X2024.06","median.X2024.07","median.X2024.08","median.X2024.10","median.X2024.11","median.X2024.12","median.X2025.01","median.X2025.02","median.X2025.03"
13,0.544138921119311,0.569703985663234,0.467272472216019,0.442064092516133,0.895084934727169,0.929170688889088,0.936562864219442,0.847333402122102,0.565484849966049,0.576235651460004,0.456696835160841,0.438737386275084,0.848088146505326,0.917803926467896,0.906615428504834,0.892526525210145,0.879334662402605,0.767012701315194,0.465710928580929,0.455206820379496,0.419585692175502,0.786944984236121,0.881626386823701,0.893662317901498,0.898720290548443,0.903830273981333,0.440790812606656,0.415989529112477,0.381612207492306,0.349523342718875,0.341031716924199,0.365112571583655,0.473029538625795,0.52880024212857,0.590772325004853,0.657541891327239,NA,0.358565042161075,0.354358418711804,0.360008912568298,0.781347367617242,0.858606495047563,0.8625743712698,0.884841522417619,0.844366142826765,0.787949204894893,0.545167827394498,0.520769512829259,0.46762068763141,0.416520054437271,0.443791827084626,0.894328037940407,0.887621118794724,0.913371609938986,0.895395557975272,0.8828307027139,0.825492577440417,0.723955228565582,0.574382072806064,0.478830526126692,0.435784317553364,0.430353256563565,0.88768137445197,0.919422533293527,0.917453310352989,0.924019612371901,0.903282834047596,0.578341626834054,0.501635495354312,0.420160980541605,0.601216069821135,0.784441153925838,0.915275293373987,0.919192105713957,0.914976456642136,0.817109957190057,0.769081439437757,0.587346429825143,0.58112337470554,0.509813538973596,0.466522694988824
17,0.858881635136127,0.911244503089414,0.855219561239406,0.870370378097022,0.961518028859171,0.961941500179117,0.946225493401306,0.903810324186929,0.607618152606638,0.89706937151592,0.851155471056756,0.851794311460399,0.848849113868669,0.907225361425551,0.818184469805577,0.873451610406197,0.903106702999624,0.902808354939194,0.679799380689788,0.833675702412975,0.870800661295688,0.891918643055638,0.882491481854823,0.892474809208375,0.883114727767688,0.916519906349541,0.934602746729363,0.885813155595038,0.830169944763207,0.863675768284707,0.883619522456002,0.863487024565045,0.877551910412678,0.854036519856235,0.739307585172145,0.886738112846113,0.905022836711358,0.796778723597557,0.811975878477161,0.853697979136469,0.912714273299755,0.894807714761024,0.876180109050501,0.923132590949592,0.740109870507459,0.838573370000505,0.952191467670762,0.936984452707846,0.915946142501159,0.833455892279787,0.848634622684854,0.882550825493004,0.861685222870561,0.898824523906266,0.88448391730578,0.892528742037944,0.888725496828589,0.821317840107716,0.936772745652339,0.855585273016667,NA,0.852969602398209,0.798622919276414,0.855455011129237,0.849245193785232,0.872879761888282,0.855655418915851,0.604423188193073,0.547317248444592,NA,0.367998655602939,0.351759989936733,0.346376508474482,0.416277627150439,0.424448533915395,0.512460497118719,0.566274535657226,0.58538064755079,0.54783074294834,0.430350968066701,0.453876322508473
18,NA,0.890872217457511,0.732736588818407,0.705920077860131,0.942388015549385,0.901854801822386,0.922834788737369,0.848804736382549,0.76108141649802,0.779878914755519,0.685192716533222,0.662885174155807,0.843047113254734,0.89554933706926,0.8769978448804,0.862699506587656,0.871597301541754,0.82620321891539,0.805054011829002,0.712410173312097,0.687533303543253,0.761611956816827,0.854719570903089,0.860491189760162,0.879058796167444,0.875995253974886,0.927404299378385,0.791131919757069,0.634992480278001,0.683660149574568,0.874349747385455,0.855065368116035,0.867285869624083,0.832102153190952,0.690334955851339,0.803091467296528,0.867413640022024,0.612641704233382,0.466862747073605,0.36974651678946,0.296260479195784,0.468892423690332,0.534358607788584,0.60000002384205,0.605631749881388,0.636664325933519,0.565912544729935,0.467864925663624,0.493748952945333,0.436025261374646,0.464634227892052,NA,0.686608279004599,0.741176486016555,0.731495086103991,0.785309060273635,0.810679698178898,0.831018848979847,0.777218795528031,0.605076909065118,NA,0.584076079456155,0.749445219372749,0.806382172249388,0.823232052168382,0.872222229838493,0.862013966350328,0.852711149100585,0.690338182708665,0.621263639132075,0.79310167543951,0.867787122726357,0.873571316401348,0.890548220459312,0.885613921491915,0.791393476486681,0.825787294994829,0.768459397553899,0.800770319997719,0.486274510622574,0.546968605229614
19,NA,0.603921592235722,0.521568655968193,0.50729083301343,0.955104803216256,0.942061989537672,0.932526614665935,0.869663873314854,0.676057108810529,0.65782196830452,0.512174129486199,0.43201224157243,0.433756251546021,0.464991832152672,0.517163606539845,0.625517835081077,0.661449101237168,0.669590459420393,0.590374355966653,0.46425339579611,0.452212888002377,0.673325182871159,0.855106217787077,0.848934336849055,0.814901947975296,0.806013083457874,0.650213149577651,0.540777694370684,0.583496756851771,0.653968274593694,0.882098419448479,0.870357562512722,0.854516037304951,0.83218177159616,0.839183015624629,0.73001238139863,0.663534072728921,0.572596869090597,0.572167074138394,0.625088888302469,0.920076992614006,0.908475653779039,0.8675733956297,0.903641462326088,0.861410104213315,0.817581710218414,0.780564817616879,0.65816226566444,0.70943045616097,0.635496979129673,0.669791997386711,0.910417505673008,0.834301923413243,0.918830277590801,0.876022027209125,0.883103886817498,0.866234148687964,0.843806800318529,0.736720995163995,0.616993486880248,0.526689973595743,0.613050489151417,0.84159795703159,0.914193742310822,0.908801748355356,0.923194648288989,0.904313731193315,0.700716458260632,0.644057150238807,0.571479526432922,0.791285415490161,0.841412886659935,0.92086835205551,0.917347956511889,0.837806360796094,0.883483490428158,0.860294125973654,0.569942401005934,0.709249373636519,0.654479067114796,0.6196078658091
20,NA,0.919529416561642,0.839988125995694,0.841612209875679,0.949547514319345,0.940601310729947,0.930332743308726,0.87884417646788,0.75070807586057,0.913235269486938,0.839215695857523,0.820948561031752,0.838779966036293,0.884567908114731,0.840773579192442,0.840591684767923,0.882319214267013,0.884204799929624,0.892359708917282,0.87746152954659,0.837745107710047,0.812477729536701,0.858238956202575,0.860668953727169,0.729276525563338,0.48088235408199,0.574509829282761,0.404433083275723,0.325377152256181,0.304847506185806,0.327863787350219,0.455203622580402,0.490552585233795,0.511274538934086,0.596265196800656,0.688888907432284,0.584313750267029,0.53973170958036,0.528652779517489,0.542290029702189,0.803763133106516,0.546433068338221,0.649064192040183,0.361624658107908,0.386039222480168,0.37098883332771,0.514509832859483,0.383840439649001,0.381408866909799,0.32741399474861,0.314583344384922,0.507189571856602,0.603465595909605,0.631372559068348,0.631785361390185,0.698395739901748,0.722473621368212,0.757254916428598,0.768347352742816,0.502212643896434,0.419294122457507,0.533660158514461,0.847463118046682,0.811824134805198,0.800622483095095,0.820935153962006,0.833685278892946,0.802262455221149,0.666176490483495,NA,0.744281060993511,0.792374740043933,0.882648915614771,0.872494024651134,0.860148371877125,0.760368404063279,0.776264203221672,0.73594772815586,NA,0.448784316778615,0.518954277038997
21,NA,0.590147083253036,0.531274537742874,0.520697196324658,0.939792391131801,0.928494442973003,0.935776101976789,0.864882905656991,0.734150342642972,0.649462363412389,0.511826009489873,0.383387806515072,0.404275604834332,0.428174607456048,0.486492375533651,0.616318808449133,0.680754302724204,0.696296314399039,0.632543188422632,0.452244011561538,0.432669687271175,0.660953784430468,0.84190386774027,0.838643791774817,0.84185712981481,0.83187364836515,0.679505154487831,0.561002204815623,0.616205328527188,0.691013090311898,0.861225475370777,0.908428831533768,0.896664882155215,0.86203793814896,0.872772812357174,0.730147074906187,0.760717860722494,0.591503292318953,0.59053710880319,0.636165599027703,0.914317678485015,0.911598044484738,0.869738569855276,0.916454328644464,0.798618550327563,0.822867339305979,0.746470603341675,0.577821375925759,0.695098057387564,0.60496734380857,0.637600944323482,0.909682641324181,0.807497940223035,0.924715362729407,0.892997188227241,0.893055561929645,0.856738259394315,0.817463246174019,0.687418319283917,0.581818206742367,0.429193904002508,0.557219277727235,0.928421669962266,0.913986933231241,0.911611524876203,0.916113629937075,0.893296859985064,0.663285491738732,0.611446764018197,0.558431398868175,0.760000014305529,0.785861023835184,0.909495803713739,0.917828056445425,0.788828072159624,0.893960306489657,0.878540988849347,0.59603559677689,0.710718971490613,0.66130810506531,0.59209655523266
22,0.780392169952398,0.867705852312271,0.793757055340185,0.785451231815164,0.923755029567996,0.926869724579161,0.920764482762928,0.880957094348557,0.687159234333688,0.882442717666989,0.782670658953153,0.745888420968412,0.790724036155455,0.881394802859389,0.854399204254066,0.84933661028735,0.883834429581922,0.872109016686809,0.81193679880686,0.82360755599879,0.777420356400068,0.811726010138439,0.861422106256773,0.863673751802218,0.807793003396356,0.478053118680343,0.332972998145942,0.348779082527381,0.332481599906132,0.306807118705787,0.36304626754092,0.443898823907592,0.474618737899662,0.468361125864115,0.556529473656118,0.619186799974017,0.547758082796952,0.466099387040217,0.449385706666041,0.420751017423898,0.714654930962586,0.489872471331703,0.596375543963477,0.2840721848566,0.264698207027991,0.326129592631777,0.296621534360834,0.301179801407381,0.285336862354433,0.262800248467566,0.254808456096734,0.438745529109997,0.545340995347327,0.603138340234701,0.602267155424531,0.669975321620046,0.700077436847628,0.728387034023274,0.682866748483004,0.455811258435019,0.369895334307457,0.48478616174848,0.8521605551115,0.837579932954631,0.828384441977121,0.843480073960987,0.828429522448835,0.596010948011905,0.468587035275549,0.435096118050822,0.661677244901787,0.723739992274318,0.879118746899611,0.886609732616164,0.881663881992569,0.694257302226933,0.650666605447731,0.564294202855395,0.551611475903509,0.4709289599236,0.455013738404602
23,NA,0.909517979249306,0.811312228440854,0.831776844471989,0.928836605549421,0.904313731193957,0.893531250619783,0.825599138935993,0.799055930640905,0.928431361915589,0.778005128320465,0.799053426446597,0.803584241098576,0.84752744773756,0.812828193276844,0.796355260119954,0.836414575577594,0.840896368026934,0.843790858984138,0.800242084043865,0.819808959961347,0.786789708981001,0.811764717102757,0.810205002400513,0.823779703454991,0.85132439826695,0.934759362177583,0.865620923042328,0.792597051178043,0.802085527937307,0.827325297472338,0.83889135561534,0.822745108604564,0.769516353607517,0.6776723784799,0.888086235313278,0.889106760421838,0.688012496314795,0.509950551474766,0.376160518097918,0.302679750324436,0.671960803868784,0.700722412063628,0.702661082150366,0.701140008694808,0.738310724498388,0.864612519741699,0.624226601919931,0.635854363446033,0.539444896308582,0.634509825708249,0.847058832645416,0.741049983810198,0.755337688659514,0.698340892797512,0.781045764684295,0.822058834135479,0.870094800627323,0.919207257607599,0.775686287881671,NA,0.728478074074497,0.7453287349038,0.798978027431518,0.80258517991259,0.862233597299694,0.852941185236515,0.972145330378872,0.814161231123288,0.669487463804113,0.86256549240112,0.884896668227587,0.876339876652123,0.890385835401404,0.869338874796154,0.755253911019646,0.910436437976945,0.679923292735625,0.961595675037707,0.537352968754881,0.58848430713099
26,NA,0.681683424042539,0.631127472967082,0.618153090438942,0.950000002980424,0.942728761583615,0.935258033451105,0.880201876917925,0.779822910024102,0.738089264073171,0.643469612476823,0.657278689468891,0.880697582091071,0.906843527274923,0.865345868592421,0.882765744861767,0.897970017615478,0.870367654785466,0.584244950820968,0.617009826749968,0.623477834619344,0.880106421571126,0.883219341205814,0.88955555240309,0.894486709552627,0.904622636860345,0.689379103481479,0.576180638352036,0.604139457146714,0.674945553143613,0.811697871170488,0.89936188092598,0.871698227165049,0.854966257439201,0.879166673868987,0.724215702712499,0.756862759588284,0.605460053682428,0.60029051038979,0.593512943415975,0.918931320048228,0.895885330032242,0.884101482549838,0.909470593631287,0.810615291883433,0.76603319644982,0.605042040347481,0.552519529096634,0.520177131699282,0.445179258401634,0.385176477432852,0.358242564732441,0.377934978733434,0.39045183943997,0.445340971504987,0.456470590838167,0.464164473895714,0.53146347423329,0.469983314263347,0.352425189395295,0.348238308197057,0.379806182508069,0.670172331008123,0.695005263075691,0.736922178485033,0.753104589880126,0.755462199449288,0.588988259791882,0.517896641926359,0.473769886877543,0.66262127913867,0.733828304462397,0.869460792094247,0.850835155557249,0.874619555117118,0.819864623248017,0.807811776160494,0.611171097109904,0.720940580358203,0.609624206274528,0.62764045034593
28,NA,0.66130720973021,0.580147083849374,0.550352709128242,0.946158544446704,0.896629908122412,0.933669471740766,0.869672670221526,0.678524270967656,0.691036110756614,0.527328459546358,0.42766106873845,0.419117651880449,0.385998429153295,0.446572430605773,0.482141780853346,0.583846896887281,0.639154908269734,0.63810582993121,0.46185621142398,0.420629665045974,0.63532297444731,0.804565272096461,0.808042547460431,0.793094194517141,0.809547163546368,0.726782023205141,0.641522512716589,0.590968784765526,0.669327750801801,0.876730408336204,0.906056098922859,0.89400007548155,0.855058832168507,0.882456566865794,0.786440099874904,0.783986940979168,0.653580583307749,0.642379700460119,0.685980410873274,0.926954252719924,0.903964015570506,0.899075814682906,0.928880030825947,0.878311331782737,0.835445685662912,0.858394616283243,0.822101459878567,0.788363882752403,0.68474488059069,0.71092438697789,0.910982238574808,0.835521578431061,0.920763026374261,0.898510700873784,0.898950037648655,0.880552884007992,0.84204604522024,0.743805073525469,0.713240164636024,0.491775599618429,0.647089244321108,0.860844582530661,0.908559315699204,0.910169345817803,0.923125725458641,0.906360598598999,0.833679364007549,0.74968193213132,0.654227961785712,0.739834896827864,0.866799160032765,0.91931000729154,0.907033465691491,0.901153788477386,0.858063146569371,0.836429318315081,0.790413955846195,0.82573530450443,0.728684656694355,0.645639856002525
